eng,kn,mBART600M
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,ನಿಮ್ಮ ಖಾತೆ ಅಥವಾ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಇನ್ನೊಬ್ಬ ವ್ಯಕ್ತಿಯ ಎಂದು ನಟಿಸುವ ಉದ್ದೇಶದಿಂದ ಬೇರೆ ಯಾವುದೇ ವ್ಯಕ್ತಿಯ ಹೆಸರನ್ನು ಹೊಂದಿರಬಾರದು.,Your account or mobile number should not have the name of any other person with the intention of pretending to be another person.
You shall not use another user's account without their permission.,ನೀವು ಇನ್ನೊಬ್ಬ ಬಳಕೆದಾರರ ಖಾತೆಯನ್ನು ಅವರ ಅನುಮತಿಯಿಲ್ಲದೆ ಬಳಸುವುದಿಲ್ಲ.,You cannot use another user's account without their permission.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","ನಿಮ್ಮ ಖಾತೆಯ ಯಾವುದೇ ಅನಧಿಕೃತ ಬಳಕೆ ಅಥವಾ ಇತರ ಖಾತೆ-ಸಂಬಂಧಿತ ಭದ್ರತಾ ಉಲ್ಲಂಘನೆಯನ್ನು ನೀವು ಕಂಡುಕೊಂಡರೆ, ನೀವು ತಕ್ಷಣ ನಮಗೆ ಲಿಖಿತವಾಗಿ ತಿಳಿಸುವಿರಿ.","If you discover any unauthorized use of your account or other account-related security breaches, you will immediately notify us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","ನಿಮ್ಮ ಖಾತೆ ಬೇರೆಯವರ ಹಕ್ಕುಗಳನ್ನು ಉಲ್ಲಂಘಿಸುತ್ತಿದೆ ಅಥವಾ ನಮ್ಮ ನೀತಿಗಳನ್ನು ಉಲ್ಲಂಘಿಸುತ್ತಿದೆ ಎಂಬ ದೂರನ್ನು ನಾವು ಸ್ವೀಕರಿಸಿದರೆ, ನಾವು ನಿಮ್ಮ ಖಾತೆಯನ್ನು ರದ್ದುಗೊಳಿಸಬಹುದು ಅಥವಾ ನಿರ್ಬಂಧಿಸಬಹುದು.","If we receive a complaint that your account is violating someone else's rights or violates our policies, we may cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",ಬಹು ಇಂಟರ್ನೆಟ್ ಪ್ರೋಟೋಕಾಲ್ ವಿಳಾಸಗಳು ಅಥವಾ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗಳನ್ನು ಬಳಸುವ ಮೂಲಕ ಅಥವಾ ಸೈಟ್ನಲ್ಲಿ ಭಾಗವಹಿಸುವವರನ್ನು ನೋಂದಾಯಿಸಲು ಯಾವುದೇ ಇತರ ವಿಧಾನಗಳ ಮೂಲಕ ನಿಮ್ಮ ಗುರುತನ್ನು ಮರೆಮಾಡಲು ನೀವು ಪ್ರಯತ್ನಿಸುವುದಿಲ್ಲ,"You will not attempt to hide your identity by using multiple Internet protocol addresses or mobile numbers, or by any other means of registering participants on the site."
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ ೨೨ ವಿವಿಧ ಭಾಷೆಗಳಲ್ಲಿ ಲಭ್ಯವಿದೆಲಭ್ಯವಿರುವ ವಿವಿಧ ಭಾಷೆಗಳುಃಇಂಗ್ಲಿಷ್ಹಿಂದಿಗುಜರಾತಿಪಂಜಾಬಿಮರಾಠಿಬಾಂಗ್ಲಾಕನ್ನಡತಮಿಳುತೆಲುಗುಮಳ್ಯಾಳಮ್ಒಡಿಯಾಅಸ್ಸಾಮೀಸ್NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,The position tracker app is available in 22 different languages available in different languages:EnglishGujaratiPunjabiMaraathiBanglaKannada Tamil TamilTeluguGujaratiMaralalumOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ಪ್ರಸ್ತಾವಿತ ವ್ಯವಸ್ಥೆಯು ಎಲ್ಲಾ ಎಡಬ್ಲ್ಯೂಸಿಗಳು, ಎಡಬ್ಲ್ಯೂಡಬ್ಲ್ಯೂಗಳು ಮತ್ತು ಫಲಾನುಭವಿಗಳ ನೈಜ-ಸಮಯದ ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ಟ್ರ್ಯಾಕಿಂಗ್ ಅನ್ನು ವ್ಯಾಖ್ಯಾನಿಸಿದ ಸೂಚಕಗಳ ಮೇಲೆ ಸಕ್ರಿಯಗೊಳಿಸಬೇಕು.","The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on defined indicators."
How to Login in Poshan Tracker App?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಅನ್ನು ಪ್ರವೇಶಿಸುವುದು (ಲಾಗಿನ್) ಹೇಗೆ?,How to log in to the Nutrition Tracker app?
Height and weight of child has not been measured,ಮಗುವಿನ ಎತ್ತರ ಮತ್ತು ತೂಕವನ್ನು ಅಳೆಯಲಾಗಿಲ್ಲ,The child's height and weight were not measured.
TAKE HOME RATION (THR) GIVEN TODAY,ಇವತ್ತು ಕೊಟ್ಟ ಮನೆಗೆ ತೆಗೆದುಕೊಂಡು ಹೋಗುವ ಪಡಿತರ(ಟಿಎಚ್ಆರ್),Today's home delivery orders (THR) are given.
A beneficiary is eligible for THR for at least 21 days in a month.,ಒಬ್ಬ ಫಲಾನುಭವಿಯು ತಿಂಗಳಲ್ಲಿ ಕನಿಷ್ಠ 21 ದಿನಗಳವರೆಗೆ THR ಗೆ ಅರ್ಹನಾಗಿರುತ್ತಾನೆ.,A beneficiary is eligible for THR for at least 21 days per month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. ನಿಯಮಗಳ ಭವಿಷ್ಯದ ಬದಲಾವಣೆಗಳ ಬಗ್ಗೆ ಮಾಹಿತಿಃ,III. information about future changes to the rules:
Planning And Organising Community Based Events At AWC, ಏ. ಡಬ್ಲ್ಯೂ. ಸಿ. ನಲ್ಲಿ ಸಮುದಾಯ ಆಧಾರಿತ ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ಯೋಜಿಸುವುದು ಮತ್ತು ಸಂಘಟಿಸುವುದು,Planning and organizing community-based events at the A.W.C.
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on the Poshan Tracker Website https://knposhantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set the 4-digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,ತಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗಳ ಮೂಲಕ ನೋಂದಾಯಿಸಲು ಸಾಧ್ಯವಾಗದಿದ್ದರೆ ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯುಗಳು ಅಪ್ಲಿಕೇಶನ್ನಲ್ಲಿ ಹೇಗೆ ಸೈನ್ ಅಪ್ ಮಾಡಬಹುದು?,"If AWWs cannot register through their mobile numbers, how can they sign up for an app?"
Poshan Tracker adds new Reports feature,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಹೊಸ ವರದಿಗಳ ವೈಶಿಷ್ಟ್ಯವನ್ನು ಸೇರಿಸುತ್ತದೆ,The position tracker adds a new reporting feature.
General Awareness about preventing illness in Children,ಮಕ್ಕಳಲ್ಲಿ ರೋಗ ತಡೆಗಟ್ಟುವಿಕೆಯ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಅರಿವು,General awareness of disease prevention in children is not a problem.
2. HOW WE USE PERSONAL INFORMATION,2. ವೈಯುಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ನಾವು ಹೇಗೆ ಬಳಸುತ್ತೇವೆ,2.kn how we use personal information.
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.kn."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","In, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಮತ್ತು ಟಿಕೆಟ್ ಸಂಖ್ಯೆಯನ್ನು ಒದಗಿಸಿ.,Please provide your mobile number and ticket number.
Please contact your respective Anganwadi worker.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸಂಬಂಧಪಟ್ಟ ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.,Please contact your affiliated Anganwadi activists.
SAM Children under 5 years who received Supplementary Nutrition,ಪೂರಕ ಆಹಾರವನ್ನು ಪಡೆದ 5 ವರ್ಷದೊಳಗಿನ SAM ಮಕ್ಕಳು,SAM children under 5 years of age who have received a supplementary diet.
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1ಪೆಂಟಾವಲೆಂಟ್-1ರೋಟವೈರಸ್ ಲಸಿಕೆ (RVV)-1ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿದ ಪೋಲಿಯೊ ಲಸಿಕೆ (ಎಫ್ಐಪಿವಿ)-1 ರ ಭಾಗಶಃ ಪ್ರಮಾಣನ್ಯುಮೋಕೊಕಲ್ ಕಾಂಜುಗೇಟ್ ಲಸಿಕೆ (PCV)-1,OPV-1knPentavalent-1Protovirus vaccine (RVV)-1 is a partial sample of the disabled polio vaccine (FIPV)-1nucococcal conjugate vaccine (PCV)-1
Height should be between 38 to 150,ಎತ್ತರವು 38 ರಿಂದ 150 ರ ನಡುವೆ ಇರಬೇಕು,The height should be between 38 and 150 kn.
How to contact Poshan Tracker Team?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ತಂಡವನ್ನು ಹೇಗೆ ಸಂಪರ್ಕಿಸುವುದು?,How do I contact the nutrient tracker team?
Take Home Ration (THR) Given Today,ಇವತ್ತು ಕೊಟ್ಟ ಮನೆಗೆ ತೆಗೆದುಕೊಂಡು ಹೋಗುವ ಪಡಿತರ(ಟಿಎಚ್ಆರ್),Today's home delivery orders (THR) are given.
How many different forms are there in Poshan Tracker App?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ನಲ್ಲಿ ಎಷ್ಟು ವಿಭಿನ್ನ ರೂಪಗಳಿವೆ?,How many different forms are there in the Nutrition Tracker app?
There are 7 different types of forms for beneficiaries.,ಫಲಾನುಭವಿಗಳಿಗೆ ೭ ವಿವಿಧ ಪ್ರಕಾರಗಳಿವೆ.,There are 7 different types of beneficiaries.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),ಇದು ಒಳಗೊಂಡಿದೆಃ ಹಾಲುಣಿಸುವ ತಾಯಿ ಗರ್ಭಿಣಿಯರು(೦-೬) ತಿಂಗಳ ಮಗು(೬ ತಿಂಗಳು-೩ ವರ್ಷದ) ಮಗು(೩-೬ ವರ್ಷದ) ಮಗು ಕಿಶೋರರು(೧೧-೧೯ ವರ್ಷ),This includes: nursing mothers pregnant women ((0-6 months) infant ((6 months-3 years old) child ((3-6 years old) child teenagers ((11-19 years old) child)
Shibpur I C D S Project,ಶಿಬ್ಪುರ ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ,The Shibhpur ICDS project is being implemented by the Shibhpur ICDS.
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",ಕಳೆದ ಒಂದು ಮೂರು ತಿಂಗಳಿನಿಂದ ಯಾವೊಬ್ಬ ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯೂ ಫಲಾನುಭವಿಗಳ ಮನೆಗೆ ಭೇಟಿ ನೀಡಿಲ್ಲ,"In the last one to three months, no one from Annagnwadi has visited the home of the beneficiaries."
Please enter Weight greater than 0.49 and less than 40.01,ದಯವಿಟ್ಟು 0.49 ಕ್ಕಿಂತ ಹೆಚ್ಚು ಮತ್ತು 40.01 ಕ್ಕಿಂತ ಕಡಿಮೆ ತೂಕವನ್ನು ನಮೂದಿಸಿ,Please enter a weight greater than 0.49 and less than 40.01kn.
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://knposhantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,or by downloading the Poshan Tracker App.
Calculator to measure the child growth based on the WHO Child Growth Standards,WHO ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಮಾನದಂಡಗಳ ಆಧಾರದ ಮೇಲೆ ಮಗುವಿನ ಬೆಳವಣಿಗೆಯನ್ನು ಅಳೆಯಲು ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಉಪಯೋಗಿಸುವುದು,Using a calculator to measure a child's growth based on WHO child development standards.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"ಎಂಪಿನ್ ೪ ಅಂಕೆಗಳ ಪಾಸ್ಕೋಡ್ ಆಗಿದ್ದು, ಇದನ್ನು ಒಬ್ಬ ಅಂಗನ್ವಾಡಿ ಕಾರ್ಯಕರ್ತರು ಪೋಷಣ್ ಆಪ್ ಮೂಲಕ ನಮೂದಿಸುವಾಗ ಹೋದಿಸಿರುತ್ತಾರೆ.",The mpkn is a 4-digit passport code that an Anganwadi activist used when entering through the Pustane app.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","ಸ್ಮಾರ್ಟ್ ಫೋನ್ ನ ವಿಶಿಷ್ಟ ವಿವರಣೆಗಳು ಮತ್ತು ತಾಂತ್ರಿಕ ಹೊಂದಾಣಿಕೆಯ ಪರೀಕ್ಶೆ(೦೨ ಫ಼ೆಬ್ರವರಿ, ೨೦೨೧)",The specifications of the smartphone and technical compatibility testing (02 February 2021)
Request for child's height and weight measurement,ಮಗುವಿನ ಎತ್ತರ ಮತ್ತು ತೂಕವನ್ನು ಅಳೆಯಲು ವಿನಂತಿ,A request to measure the child's height and weight.
Children (6 months - 3 years),ಮಕ್ಕಳು (6 ತಿಂಗಳು - 3 ವರ್ಷಗಳು),Children (6 months - 3 years)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","ನಮ್ಮ ಸೈಟ್, ಅಪ್ಲಿಕೇಶನ್ ಮತ್ತು ವೇದಿಕೆ ತಂತ್ರಜ್ಞಾನ ಸೇರಿದಂತೆ ನೀವು ನಮ್ಮ ಸೇವೆಗಳನ್ನು ಬಳಸಿದಾಗ ಅಥವಾ ನಮ್ಮ ವೇದಿಕೆಗೆ ಭೇಟಿ ನೀಡಿದಾಗ ನಾವು ಬಳಸುವ ಡೇಟಾವನ್ನು ಲಾಗ್ ಮಾಡುತ್ತೇವೆ.","We log the data we use when you use our services or visit our platform, including our site, app and platform technology."
"Result couldn't be fetch, please enter valid data","ಫಲಿತಾಂಶವನ್ನು ಪಡೆಯಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ, ದಯವಿಟ್ಟು ಸೂಕ್ತವಾದ ಡೇಟಾವನ್ನು ನಮೂದಿಸಿ","Couldn't get a result, please enter the relevant data."
Central Golaghat I. C. D. S. Project,ಸೆಂಟ್ರಲ್ ಗೋಲಘಾಟ್ ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ,Central Golgotha ICDS project is being implemented in the state.
