eng,pa,translation_text
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","ਪੋਸਣ ਟ੍ਰੈਕਰ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨੂੰ ਕਿਸੇ ਵੀ ਸਮੇਂ ਬਦਲਣ, ਸੋਧਣ, ਜੋੜਨ ਜਾਂ ਹਟਾਉਣ ਦਾ, ਤੁਹਾਨੂੰ ਅਜਿਹੀਆਂ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਵਿਸੇਸ ਤੌਰ 'ਤੇ ਸੂਚਿਤ ਕੀਤੇ ਬਿਨਾਂ, ਬਗੈਰ ਸਰਤ ਅਧਿਕਾਰਾਖਵਾਂ ਰੱਖਦਾ ਹੈ।","eng tracker has the ultimate authority to change, modify, add or remove any part of this privacy policy at any time, without notifying you specifically of such changes."
Any changes or updates will be effective immediately.,ਕੋਈ ਵੀ ਬਦਲਾਅ ਜਾਂ ਅੱਪਡੇਟ ਤੁਰੰਤ ਪ੍ਰਭਾਵੀ ਹੋਣਗੇ।, Any changes or updates will be effective immediately.
You should review this Privacy Policy regularly for changes.,ਤੁਹਾਨੂੰ ਤਬਦੀਲੀਆਂ ਲਈ ਨਿਯਮਿਤ ਤੌਰ 'ਤੇ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਸਮੀਖਿਆ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ।, You should review this privacy policy regularly for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","ਅਸੀਂ ਆਮ ਤੌਰ 'ਤੇ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਵਿੱਚ ਕਿਸੇ ਵੀ ਸਮੱਗਰੀ ਦੀਆਂ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਸਾਰੇ ਉਪਭੋਗਤਾਵਾਂ ਨੂੰ ਸੂਚਿਤ ਕਰਨ ਲਈ ਵਪਾਰਕ ਤੌਰ 'ਤੇ ਉਚਿਤ ਯਤਨਾਂ ਜਿਵੇਂ ਕਿ ਸਿਸਟਮ 'ਤੇ ਨੋਟਿਸ ਰਾਹੀਂ, ਦੀ ਵਰਤੋਂ ਕਰਾਂਗੇ।"," We will generally use commercially reasonable efforts to notify all users of any changes to the content in this privacy policy, such as through a notice on the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","ਹਾਲਾਂਕਿ, ਸਿਸਟਮ ਦੇ ਉਪਭੋਗਤਾ ਹੋਣ ਦੇ ਨਾਤੇ, ਤੁਹਾਨੂੰ ਕਿਸੇ ਵੀ ਬਦਲਾਅ ਲਈ ਨਿਯਮਿਤ ਤੌਰ 'ਤੇ ਗੋਪਨੀਯਤਾ ਨੀਤੀ ਦੀ ਜਾਂਚ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ।","eng, user of the system, you should check the privacy policy regularly for any changes."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","ਅਸੀਂ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੇ ਸਿਖਰ 'ਤੇ ""ਆਖਰੀ ਅੱਪਡੇਟ ਹੋਇਆ"" ਮਿਤੀ ਨੂੰ ਵੀ ਅੱਪਡੇਟ ਕਰਾਂਗੇ, ਜੋ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਪ੍ਰਭਾਵੀ ਮਿਤੀ ਨੂੰ ਦਰਸਾਉਂਦੀ ਹੈ।","engatupdater.com - We will also update the ""last updated"" date at the top of this Privacy Policy, which indicates the effective date of this Privacy Policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,ਨਵੀਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਮਿਤੀ ਤੋਂ ਬਾਅਦ ਸਿਸਟਮ ਦੀ ਤੁਹਾਡੀ ਨਿਰੰਤਰ ਪਹੁੰਚ ਜਾਂ ਵਰਤੋਂ ਨਵੀਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਤੁਹਾਡੀ ਸਵੀਕ੍ਰਿਤੀ ਦਾ ਗਠਨ ਕਰਦੀ ਹੈ।, Your continued access to or use of the system after the date of the new privacy policy constitutes your acceptance of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","ਜੇ ਤੁਸੀਂ ਨਵੀਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਨਾਲ ਸਹਿਮਤ ਨਹੀਂ ਹੋ, ਤਾਂ ਤੁਹਾਨੂੰ ਸਿਸਟਮ ਨੂੰ ਐਕਸੈਸ ਕਰਨਾ ਅਤੇ/ਜਾਂ ਵਰਤਣਾ ਬੰਦ ਕਰ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ।","eng.co.uk - If you do not agree with the new privacy policy, you should cease to access and/or use the system."
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?,engekapitalpaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapaapa
"No, Poshan Tracker is available only for Android version",ਕੋਈ ਪੋਸਣ ਟ੍ਰੈਕਰ ਕੇਵਲ ਐਂਡਰਾਇਡ ਸੰਸਕਰਣ ਲਈ ਉਪਲਬਧ ਨਹੀਂ ਹੈ।, No Nutrition Trackerpa is not available for Android only.
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ਮੁਆਵਜਾ ਅਤੇ ਦੇਣਦਾਰੀ ਦੀ ਸੀਮਾ,eng.XV.Limit of compensation and liability
Growth monitoring report for all health indicators,ਸਾਰੇ ਸਿਹਤ ਸੰਕੇਤਕਾਂ ਲਈ ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਰਿਪੋਰਟ,engekap laporan pemantauan pertumbuhan untuk semua indikator kesehatan
Take Home Ration (THR) given in last 30 days,ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਦਿੱਤਾ ਘਰ ਦਾ ਰਾਸਨ (ਟੀਐਚਆਰ) ਲਓ, Take a home ration (THR) given within the last 30 days.
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,ਬੱਚਿਆਂ ਨੂੰ ਅਵਿਕਸਿਤ ਵਜੋਂ ਪਰਿਭਾਸਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ ਜੇਕਰ ਉਹਨਾਂ ਦੀ ਉਮਰ ਅਨੁਸਾਰ ਉਚਾਈ WHO ਬਾਲ ਵਿਕਾਸ ਮਾਪਦੰਡ ਤੋਂ ਦੋ ਮਿਆਰ ਤੋਂ ਜਿਆਦਾ ਘੱਟ ਹੈ,: Children are defined as unabeducated if their height by age is more than two standards below WHO child development standard.
What is the purpose of Launching Poshan Tracker?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਨੂੰ ਸੁਰੂ ਕਰਨ ਦਾ ਉਦੇਸ ਕੀ ਹੈ?,eng.co.id - A. What is the purpose of starting a nutrition tracker?
"As a registered user, you have the right to access your profile at any time.","ਇੱਕ ਰਜਿਸਟਰਡ ਉਪਭੋਗਤਾ ਵਜੋਂ, ਤੁਹਾਡੇ ਕੋਲ ਕਿਸੇ ਵੀ ਸਮੇਂ ਆਪਣੀ ਪ੍ਰੋਫਾਈਲ ਖੋਲ੍ਹਣ ਦਾ ਅਧਿਕਾਰ ਹੈ।"," As a registered user, you have the right to open your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","ਹਾਲਾਂਕਿ, ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਪੋਸਣ ਟਰੈਕਰ ਸਿਸਟਮ ਦੁਆਰਾ ਨਿਰਧਾਰਿਤ ਤੌਰ 'ਤੇ ਤਬਦੀਲੀਆਂ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ।","eng, pero se puede cambiar de vez en cuando, según el sistema de nutricion trackers."
You cannot manage the communications that you receive from us or how you receive them.,ਤੁਸੀਂ ਉਹਨਾਂ ਸੰਚਾਰਾਂ ਦਾ ਪ੍ਰਬੰਧਨ ਨਹੀਂ ਕਰ ਸਕਦੇ ਜੋ ਤੁਸੀਂ ਸਾਡੇ ਤੋਂ ਪ੍ਰਾਪਤ ਕਰਨੇ ਹਨ ਜਾਂ ਕਿਵੇਂ ਪ੍ਰਾਪਤ ਕਰਨੇ ਹਨ।, You cannot manage the communications you are supposed to receive from us or how you are supposed to receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. ਕਨੂੰਨ, ਤੀਜੀ ਧਿਰ ਦੇ ਅਧਿਕਾਰਾਂ, ਅਤੇ ਸੇਵਾ ਦੀਆਂ ਹੋਰ ਸਰਤਾਂ ਦੀ ਪਾਲਣਾ","eng. XIII. Memorizabiliti legislativa, third party rights, and other conditions of service."
"repeated infection, and inadequate psychosocial stimulation","ਵਾਰ-ਵਾਰ ਲਾਗ, ਅਤੇ ਨਾਕਾਫੀ ਮਨੋ-ਸਮਾਜਿਕ ਉਤੇਜਨਾ","eng, and insufficient psycho-social stimulation."
Beneficiary migration from one AWC to another AWC,ਇੱਕ AWC ਤੋਂ ਦੂਸਰੇ AWC ਤੱਕ ਲਾਭਪਾਤਰੀ ਮਾਈਗ੍ਰੇਸਨ, The beneficiary of the migration from one AWC to another AWC is the beneficiary of the migration from one AWC to another AWC.
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","ਪੋਸਣ ਅਭਿਆਨ (02 ਫਰਵਰੀ, 2021) ਅਧੀਨ ਆਈਸੀਟੀ ਪਲੇਟਫਾਰਮ ਤੇ ਸਿਖਲਾਈ"," Training on the ICT platform under the Nutrition Campaign (02 February, 2021)"
You may browse the Site without registering for an account.,ਤੁਸੀਂ ਕਿਸੇ ਖਾਤੇ ਲਈ ਰਜਿਸਟਰ ਕੀਤੇ ਬਿਨਾਂ ਸਾਈਟ ਨੂੰ ਬ੍ਰਾਊਜ ਕਰ ਸਕਦੇ ਹੋ।, You can browse the site without registering for an account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","ਜੇਕਰ ਤੁਸੀਂ ਸਾਈਟ ਦੁਆਰਾ ਪੇਸ ਕੀਤੀਆਂ ਗਈਆਂ ਕੁਝ ਵਿਸੇਸਤਾਵਾਂ ਜਾਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨ ਦਾ ਇਰਾਦਾ ਰੱਖਦੇ ਹੋ, ਤਾਂ ਤੁਹਾਨੂੰ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਦੇ ਨਾਲ ਇੱਕ ਖਾਤੇ ਲਈ ਰਜਿਸਟਰ ਕਰਨ ਦੀ ਲੋੜ ਹੋਵੇਗੀ।"," If you intend to use some of the features or services provided by the site, you will need to register for an account with your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,ਤੁਸੀਂ ਆਪਣੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਅਤੇ ਰਜਿਸਟ੍ਰੇਸਨ ਅਤੇ ਇਸ ਜਾਣਕਾਰੀ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖਣ ਵਿੱਚ ਅਸਫਲ ਰਹਿਣ ਦੇ ਨਤੀਜੇ ਵਜੋਂ ਹੋਣ ਵਾਲੀਆਂ ਸਾਰੀਆਂ ਗਤੀਵਿਧੀਆਂ ਦੀ ਗੁਪਤਤਾ ਨੂੰ ਬਣਾਈ ਰੱਖਣ ਲਈ ਪੂਰੀ ਤਰ੍ਹਾਂ ਜਿੰਮੇਵਾਰ ਹੋ।, You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities resulting from failure to keep that information secure.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,ਤੁਹਾਡੀ ਰਜਿਸਟ੍ਰੇਸਨ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ ਨੂੰ ਗੁਪਤ ਰੱਖਿਆ ਜਾਵੇਗਾਤੁਸੀਂ ਇਹ ਮੰਨਦੇ ਹੋਃਤੁਸੀਂ ਆਪਣੇ ਖਾਤੇ ਰਾਹੀਂ ਆਪਣੇ ਰਿਕਾਰਡ ਬਣਾਉਣ ਲਈ ਸਬੰਧਤ ਵਿਅਕਤੀਆਂ ਤੋਂ ਸਹਿਮਤੀ ਪ੍ਰਾਪਤ ਕੀਤੀ ਹੈ।,engekerjaanterminalitas.com - Registrasi atau nomor telepon anda akan tetap rahasia.Anda setuju:Anda telah memperoleh persetujuan dari orang yang bersangkutan untuk membuat catatan anda melalui akun anda.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,ਤੁਹਾਡੇ ਖਾਤੇ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ ਵਿੱਚ ਉਸ ਵਿਅਕਤੀ ਦੀ ਨਕਲ ਕਰਨ ਦੇ ਇਰਾਦੇ ਵਾਲੇ ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਦਾ ਨਾਮ ਸਾਮਲ ਨਹੀਂ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।, The name of another person who intends to copy that person in your account or mobile number must not be included.
You shall not use another user's account without their permission.,ਤੁਸੀਂ ਕਿਸੇ ਹੋਰ ਉਪਭੋਗਤਾ ਦੇ ਖਾਤੇ ਦੀ ਵਰਤੋਂ ਉਹਨਾਂ ਦੀ ਇਜਾਜਤ ਤੋਂ ਬਿਨਾਂ ਨਹੀਂ ਕਰੋਗੇ।, You will not use another user's account without their permission.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",ਜੇਕਰ ਤੁਹਾਨੂੰ ਆਪਣੇ ਖਾਤੇ ਦੀ ਕੋਈ ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਜਾਂ ਖਾਤਾ-ਸਬੰਧਤ ਸੁਰੱਖਿਆ ਉਲੰਘਣਾ ਦਾ ਪਤਾ ਲੱਗਦਾ ਹੈ ਤਾਂ ਤੁਸੀਂ ਸਾਨੂੰ ਤੁਰੰਤ ਲਿਖਤੀ ਰੂਪ ਵਿੱਚ ਸੂਚਿਤ ਕਰੋਗੇ।," If you detect any unauthorized use of your account or account-related security breach, you will immediately notify us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","ਜੇਕਰ ਸਾਨੂੰ ਕੋਈ ਸਿਕਾਇਤ ਮਿਲਦੀ ਹੈ ਕਿ ਤੁਹਾਡਾ ਖਾਤਾ ਕਿਸੇ ਹੋਰ ਦੇ ਅਧਿਕਾਰਾਂ ਦੀ ਉਲੰਘਣਾ ਕਰਦਾ ਹੈ, ਜਾਂ ਸਾਡੀਆਂ ਨੀਤੀਆਂ ਦੀ ਉਲੰਘਣਾ ਕਰਦਾ ਹੈ ਤਾਂ ਅਸੀਂ ਤੁਹਾਡੇ ਖਾਤੇ ਨੂੰ ਰੱਦ ਜਾਂ ਬੰਦ ਕਰ ਸਕਦੇ ਹਾਂ।"," If we receive a complaint that your account violates someone else's rights, or violates our policies, we can cancel or close your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","ਤੁਸੀਂ ਸਾਈਟ 'ਤੇ ਭਾਗੀਦਾਰਾਂ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਲਈ ਮਲਟੀਪਲ ਇੰਟਰਨੈਟ ਪ੍ਰੋਟੋਕੋਲ ਪਤੇ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ, ਜਾਂ ਕਿਸੇ ਹੋਰ ਤਰੀਕੇ ਨਾਲ ਆਪਣੀ ਪਛਾਣ ਛੁਪਾਉਣ ਦੀ ਕੋਸਿਸ ਨਹੀਂ ਕਰੋਗੇ।"," You will not attempt to hide your identity in any other way, including multiple Internet protocol addresses or mobile numbers, or to register participants on the site."
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ 22 ਵੱਖੋ ਵੱਖਰੀਆਂ ਭਾਸਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ।ਉਪਲਬਧ ਵੱਖ ਵੱਖ ਭਾਸਾਵਾਂ ਹਨਃਅੰਗਰੇਜੀਹਿੰਦੀਗੁਜਰਾਤੀਪੰਜਾਬੀਮਰਾਠੀਬੰਗਲਾਕੰਨੜਤਾਮਿਲਤੇਲਗੂਮਲਿਆਲਮਓਡੀਆਅਸਾਮੀNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,english hindigujaratipanjabimarathibanglakannandar tamilteluguamilyaalmodiaasamiNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ਪ੍ਰਸਤਾਵਿਤ ਪ੍ਰਣਾਲੀ ਨੂੰ ਪਰਿਭਾਸਤ ਸੂਚਕਾਂ ਤੇ ਸਾਰੇ AWCs, AWWs ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ.","eng sistem yang diusulkan harus memungkinkan pemantauan dan pelacakan real-time dari semua AWC, AWW dan penerima manfaat pada indikator variable."
How to Login in Poshan Tracker App?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਵਿਚ ਲੋਗਿਨ ਕਿਵੇਂ ਕਰੀਏ?, How do I log in to Nutrition Tracker? - How do I log in to Nutrition Tracker? - How do I log in to Nutrition Tracker?
Height and weight of child has not been measured,ਬੱਚੇ ਦੀ ਲੰਬਾਈ ਅਤੇ ਭਾਰ ਨਹੀਂ ਮਾਪਿਆ ਗਿਆ ਹੈ,engekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekek
Calculator to measure the child growth based on the WHO Child Growth Standards.,ਬਚੇ ਦੇ ਵਾਧੇ ਲਈ ਡਬਲਯੂਐਚਓ ਮਾਪਦੰਡ ਦੇ ਆਧਾਰ 'ਤੇ ਬੱਚੇ ਦੇ ਵਾਧੇ ਨੂੰ ਮਾਪਣ ਲਈ ਕੈਲਕੁਲੇਟਰ, Calculator to measure baby growth based on WHOPA criteria for baby growth
TAKE HOME RATION (THR) GIVEN TODAY,ਅੱਜ ਦਿੱਤੇ ਗਏ ਘਰਾਂ ਦੇ ਰਾਸਨ (ਟੀਐਚਆਰ) ਨੂੰ ਲਓ, Take the home ration (THR) given today.
A beneficiary is eligible for THR for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ THR ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।,engekap bisa di THR minimal 21 hari sebulan.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. ਸਰਤਾਂ ਵਿੱਚ ਭਵਿੱਖ'ਚ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਨੋਟਿਸਃ,eng.Notice of future changes in winterspa:
Planning And Organising Community Based Events At AWC,ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਵਿਖੇ ਕਮਿਊਨਿਟੀ ਆਧਾਰਿਤ ਸਮਾਗਮਾਂ ਦੀ ਯੋਜਨਾਬੰਦੀ ਅਤੇ ਆਯੋਜਨ ਕਰਨਾ,engwanwadi centre (AWC) community-based events planning and organizing
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker., Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.com/posthan-tracker/
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,eng-Step 2-Ketikkan Nomor Ponsel terdaftar dan pra-set MPIN 4 digit.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,ਜੇ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰਾਂ ਦੁਆਰਾ ਰਜਿਸਟਰ ਨਹੀਂ ਕਰ ਪਾਉਂਦੇ ਤਾਂ ਏਡਬਲਯੂਡਬਲਯੂ ਐਪ ਤੇ ਕਿਵੇਂ ਸਾਈਨ ਅਪ ਕਰ ਸਕਦਾ ਹੈ?," If they can't register via their mobile numbers, how can AWS sign up for the app?"
Poshan Tracker adds new Reports feature,ਪੋਸਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਰਿਪੋਰਟ ਵਿਸੇਸਤਾ ਜੁੜਦੀ ਹੈ, A new report in the nutrition tracker adds specificity to the report.
General Awareness about preventing illness in Children,ਬੱਚਿਆਂ ਵਿੱਚ ਬਿਮਾਰੀ ਦੀ ਰੋਕਥਾਮ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ,eng.org - General awareness of prevention of disease in children
2. HOW WE USE PERSONAL INFORMATION,2. ਅਸੀਂ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕਰਦੇ ਹਾਂ,eng.pa 2.pa How we use personal information
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","eng: The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","eng, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਮੋਬਾਈਲ ਨੰਬਰ ਅਤੇ ਟਿਕਟ ਨੰਬਰ ਪ੍ਰਦਾਨ ਕਰੋ।, Please provide your mobile number and ticket number.
Please contact your respective Anganwadi worker.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।, Please contact your affiliated Angnawadi worker.
SAM Children under 5 years who received Supplementary Nutrition,ਐਸਏਐਮ 5 ਸਾਲ ਤੋਂ ਘੱਟ ਉਮਰ ਦੇ ਬੱਚੇ ਜਿਨ੍ਹਾਂ ਨੂੰ ਪੂਰਕ ਆਹਾਰ ਪ੍ਰਾਪਤ ਹੋਇਆ ਹੈ, SAMM - Children under 5 years of age who have received a supplemental diet
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,ਓਪੀਵੀ-1ਪੇਂਟਾਵਲੇੰਟ-1ਰੋਟਾਵਾਇਰਸ ਵੈਕਸੀਨ (ਆਰਵੀਵੀ)-1ਇਨਐਕਟੀਵੇਟਿਡ ਪੋਲੀਓ ਵੈਕਸੀਨ ਦੀ ਅੰਸਿਕ ਖੁਰਾਕ (fIPV) -1ਨਿਊਮੋਕੋਕਲ ਕੰਨਜੁਗੇਟ ਵੈਕਸੀਨ (ਪੀਸੀਵੀ) -1,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Height should be between 38 to 150,ਕੱਦ 38 ਤੋਂ 150 ਦੇ ਵਿਚਕਾਰ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ,eng harus 38 sampai 150 kaki
How to contact Poshan Tracker Team?,ਪੋਸਨ ਟਰੈਕਰ ਟੀਮ ਨਾਲ ਸੰਪਰਕ ਕਿਵੇਂ ਕਰੀਏ?, How do I contact the Popson Tracker team? - How do I contact the Popson Tracker team? - How do I contact the Popson Tracker team?
Take Home Ration (THR) Given Today,ਅੱਜ ਦਿੱਤੇ ਗਏ ਘਰਾਂ ਦੇ ਰਾਸਨ (ਟੀਐਚਆਰ) ਨੂੰ ਲਓ, Take the home ration (THR) given today.
How many different forms are there in Poshan Tracker App?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਵਿਚ ਕਿੰਨੇ ਵੱਖਰੇ ਰੂਪ ਹਨ?, Nutrition Tracker app has how many variants?
There are 7 different types of forms for beneficiaries.,ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਇੱਥੇ 7 ਵੱਖ-ਵੱਖ ਕਿਸਮਾਂ ਦੇ ਫਾਰਮ ਹਨ., There are 7 different types of forms for beneficiaries.
