eng,te
Underweight children who received Supplementary Nutrition,సప్లిమెంటరీ న్యూట్రిషన్ అందుకున్న తక్కువ బరువున్న పిల్లలు
Beneficiary deletion by AWW,AWW ద్వారా లబ్ధిదారుని తొలగింపు
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.","పోషణ్ ట్రాకర్ మరియు దాని అఫిలియేట్ లు, దాని అధికారులు, డైరెక్టర్ లు, ఉద్యోగులు మరియు ఏజెంట్ లు, ఏవైనా మరియు అన్ని క్లెయింలు, డ్యామేజీలు, బాధ్యతలు, నష్టాలు, అప్పులు, ఖర్చులు లేదా రుణం, మరియు ఖర్చుల నుంచి మరియు వాటికి విరుద్ధంగా మరియు వాటి నుంచి మరియు వాటికి విరుద్ధంగా మరియు వాటి నుంచి ఉత్పన్నం అయ్యేంత వరకు ఏదైనా ఆరోపణ లేదా తృతీయపక్ష లీగల్ ప్రొసీడింగ్ కు సంబంధించిన అటార్నీల ఫీజులతో సహా అయితే వాటికే పరిమితం కాకుండా, వాటి నుంచి రక్షణ కల్పించడానికి, నష్టపరిహారం చెల్లించడానికి మరియు హానిచేయకుండా ఉంచడానికి మీరు అంగీకరిస్తున్నారుఃసైట్ మరియు సేవకు మీ ఉపయోగం మరియు ప్రాప్యత;ఈ అగ్రిమెంట్ యొక్క ఏదైనా టర్మ్ ని మీరు ఉల్లంఘించడం;పరిమితి లేకుండా, ఏదైనా కాపీరైట్, ఆస్తి లేదా గోప్యతా హక్కుతో సహా ఏదైనా తృతీయపక్ష హక్కును మీరు ఉల్లంఘించడం; లేదామీ యూజర్ కంటెంట్ తృతీయపక్షానికి నష్టం కలిగించిందనే ఏదైనా క్లెయిం."
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,ఈ రక్షణ మరియు నష్టపరిహార బాధ్యత ఈ ఒప్పందం మరియు సేవ మరియు వెబ్ సైట్/యాప్ యొక్క మీ ఉపయోగం మనుగడలో ఉంటుంది.
SURI - II,సూరి - II
ICDS (Tribal Project),ఐసిడిఎస్ (గిరిజన ప్రాజెక్ట్)
Kakdwip Addl ICDS Project,కాకద్వీప్ అడిష్నల్ ఐసిడిఎస్ ప్రాజెక్ట్
Ranir Bazar N/P,రాణిర్ బజార్ ఎన్/పి
Children (0-6 months),పిల్లలు (0-6 నెలలు)
Identification and care of a Weak Newborn baby,బలహీనమైన నవజాత శిశువును గుర్తించడం మరియు సంరక్షించడం
Harangajao Icds Project,హరంగజావ్ ఐసిడిఎస్ ప్రాజెక్ట్
Sivnee Rural -1,శివనీ రూరల్ -1
Dera Baba Nanak,డేరా బాబా నానక్
1.2. Information from use of services.,1.2. సేవల యొక్క ఉపయోగం నుండి సమాచారం.
Please contact your respective Anganwadi Centre.,దయచేసి మీ సంబంధిత అంగన్ వాడీ కేంద్రాన్ని సంప్రదించండి.
Chanchal - II,చంచల్ - II
State Video Conference,రాష్ట్ర వీడియో కాన్ఫరెన్స్
Uttar Bastar Kanker,ఉత్తర బస్తర్ కంకర్
"Jatinga Valley Icds Project, Mahur","జటింగా వ్యాలీ ఐసిడిఎస్ ప్రాజెక్ట్, మహూర్"
Ratua - II,రటువా - II
6m - 3y,6 ని - 3 య
Kushi Nagar City,కుషి నగర్ సిటీ
Take Home Ration,టేక్ హోమ్ రేషన్
