eng,pa
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","ਪੋਸਣ ਅਭਿਆਨ ਭਾਰਤ ਦਾ ਪ੍ਰਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ ਜੋ ਬੱਚਿਆਂ, ਕਿਸੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਟੀਚਾ ਪਹੁੰਚ ਅਤੇ ਕਨਵਰਜੈਂਸ ਦੁਆਰਾ ਪੋਸਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਨੂੰ ਬਿਹਤਰ ਬਣਾਉਣ ਲਈ ਹੈ।ਪੋਸਣ ਟਰੈਕਰ ਪੋਰਟਲ ਜਾਂ ਐਪ ਭਾਰਤ ਸਰਕਾਰ ਦੇ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ ਦੁਆਰਾ ਨਿਯੰਤਰਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ, ਜਿਸਨੂੰ ਬਾਅਦ ਵਿੱਚ ""MWCD"", ""ਸਾਡੇ"", ""ਆਪਾਂ"", ""ਅਸੀਂ"" ਕਿਹਾ ਗਿਆ, ਜਿਸ ਵਿੱਚ ਪ੍ਰੋਗਰਾਮ/ਮੁਹਿੰਮ ਦੇ ਹੋਰ ਵਿਭਾਗਾਂ ਅਤੇ ਖੰਡਾ ਦਾ ਹਵਾਲਾ ਸਾਮਲ ਹੋਵੇਗਾ।ਇਸ ਨੀਤੀ ਵਿੱਚ ਪੋਸਣ ਟਰੈਕਰ ਪੋਰਟਲ ਜਾਂ ਐਪ ਦੇ ਸੰਦਰਭਾਂ ਵਿੱਚ ਪੋਸਣ ਟਰੈਕਰ ਜਾਂ ਕੋਈ ਹੋਰ ਐਪਸ ਜਾਂ ਪੋਰਟਲ ਸਾਮਲ ਹਨ ਜੋ ਪੋਸਣ ਟਰੈਕਰ ਨਾਲ ਏਪੀਆਈਜ/ਸਬੰਧਤ ਸਾਈਟਾਂ, ਐਪਸ, ਸੰਚਾਰ ਅਤੇ ਸੇਵਾਵਾਂ (""ਸੇਵਾਵਾਂ"") ਦੁਆਰਾ ਏਕੀਕ੍ਰਿਤ ਹਨ, ਜਿਸਨੂੰ ਬਾਅਦ ਵਿੱਚ ਸਮੂਹਿਕ ਤੌਰ 'ਤੇ ""ਪੋਸਣ ਟਰੈਕਰ ਜਾਂ ਸਿਸਟਮ"" ਕਿਹਾ ਜਾਂਦਾ ਹੈ।ਸਾਡੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਉਦੋਂ ਲਾਗੂ ਹੁੰਦੀ ਹੈ ਜਦੋਂ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋ (ਹੇਠਾਂ ਵਰਣਨ ਕੀਤਾ ਗਿਆ ਹੈ)।ਇਹ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਤੁਹਾਨੂੰ ਇਹ ਸਮਝਣ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ ਹੈ ਕਿ ਅਸੀਂ ਕਿਹੜੀ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ, ਅਸੀਂ ਇਸਨੂੰ ਕਿਉਂ ਇਕੱਠਾ ਕਰਦੇ ਹਾਂ, ਅਤੇ ਇਸਨੂੰ ਕਿਵੇਂ ਵਰਤਿਆ ਅਤੇ ਸਾਂਝਾ ਕੀਤਾ ਜਾਂਦਾ ਹੈ।ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਨੂੰ ਇਕੱਠਾ ਕਰਨ ਅਤੇ ਰੱਖਣ ਵਾਲੀ ਏਜੰਸੀ ਐਮਡਬਲਿਊਸੀਡੀ(MWCD) ਹੈ।ਅਸੀਂ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੀ ਸੁਰੱਖਿਆ ਅਤੇ ਤੁਹਾਡੀ ਗੋਪਨੀਅਤਾ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਵਚਨਬੱਧ ਹਾਂ।ਸਿਸਟਮ 'ਤੇ ਇਕੱਠੀ ਕੀਤੀ ਗਈ ਕੋਈ ਵੀ ਜਾਣਕਾਰੀ ਜਾਂ ਅੰਕੜੇ, ਸੂਚਨਾ ਤਕਨਾਲੋਜੀ ਐਕਟ, 2000 ਦੇ ਨਿਯਮਾਂ ਅਤੇ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਦੇ ਸੰਗ੍ਰਹਿ ਅਤੇ ਪ੍ਰੋਸੈਸਿੰਗ ਨਾਲ ਸਬੰਧਤ ਹੋਰ ਰਾਸਟਰੀ ਅਤੇ ਰਾਜ ਕਾਨੂੰਨਾਂ ਦੇ ਨਾਲ ਪੜ੍ਹੇ ਗਏ ਉਪਬੰਧਾਂ ਦੇ ਅਨੁਸਾਰ ਹੁੰਦੀ ਹੈ।ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਨੂੰ https://poshantracker.in 'ਤੇ ਉਪਲਬਧ ਸੇਵਾ ਦੀਆਂ ਸਰਤਾਂ ਦੇ ਨਾਲ ਜੋੜ ਕੇ ਪੜ੍ਹਨ ਦੀ ਲੋੜ ਹੈ।ਸਿਸਟਮ ਤੱਕ ਤੁਹਾਡੀ ਪਹੁੰਚ ਅਤੇ ਵਰਤੋਂ ਤੁਹਾਡੀ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਅਤੇ ਸੇਵਾ ਦੀਆਂ ਸਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰਨ 'ਤੇ ਸਰਤ ਹੈ।ਸਿਸਟਮ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਅਤੇ/ਜਾਂ ਵਰਤ ਕੇ, ਤੁਸੀਂ ਇਹ ਦਰਸਾਉਂਦੇ ਹੋ ਕਿ ਤੁਸੀਂ ਸੇਵਾ ਦੀਆਂ ਸਰਤਾਂ ਅਤੇ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਨੂੰ ਪੜ੍ਹਿਆ, ਸਮਝਿਆ ਅਤੇ ਉਸ ਨਾਲ ਸਹਿਮਤ ਹੋ, ਅਤੇ ਇਹ ਕਿ ਤੁਸੀਂ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਵਿੱਚ ਆਪਣੀ ਜਾਣਕਾਰੀ ਅਤੇ ਅੰਕੜਿਆਂ ਨੂੰ ਇਕੱਤਰ ਕਰਨ, ਸਟੋਰ ਕਰਨ ਅਤੇ ਦੱਸੇ ਗਏ ਤਰੀਕੇ ਨਾਲ ਵਰਤਣ ਲਈ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ।ਤੁਸੀਂ ਇਥੇ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਡੀ ਦਫਾ 1 ਵਿੱਚ ਵਰਣਨ ਕੀਤੇ ਅਨੁਸਾਰ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦਾ ਸੰਗ੍ਰਹਿ ਇਸ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਡੀ ਦਫਾ 2 ਅਤੇ 3 ਵਿੱਚ ਦਰਸਾਏ ਉਦੇਸਾਂ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਜਰੂਰੀ ਹੈ।"
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,ਜੇਕਰ ਤੁਹਾਡਾ ਭਾਰ ਘੱਟ ਹੈ ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ
Can a beneficiary change his/her AWC?,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਆਪਣਾ ਆਂਗਨਵਾੜੀ ਸੈਂਟਰ ਬਦਲ ਸਕਦਾ ਹੈ?
Ensuring Exclusive Breastfeeding,ਵਿਸੇਸ ਤੌਰ ਤੇ ਛਾਤੀ ਦਾ ਦੁੱਧ ਚੁੰਘਾਉਣਾ ਯਕੀਨੀ ਬਣਾਉਣਾ
Koppal - Karnataka,ਕੋਪਲ - ਕਰਨਾਟਕ
Udaipur N/P Icds,ਉਦੈਪੁਰ ਐਨ/ਪੀ ਆਈਸੀਡੀਐਸ
North Garo Hills,ਉੱਤਰੀ ਗਾਰੋ ਪਹਾੜੀਆਂ
"We use the information we have, to help verify accounts.",ਅਸੀਂ ਖਾਤੇ ਦੀ ਪੁਸਟੀ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ ਸਾਡੇ ਕੋਲ ਮੌਜੂਦ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ।
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ਰਿਕਾਰਡਾਂ ਦੀ ਵਰਤੋਂ ਪੋਸਨ ਟਰੈਕਰ ਨਿਯੰਤਰਣ ਅਤੇ ਜਵਾਬ ਦੇ ਉਦੇਸਾਂ ਲਈ ਸਿਹਤ ਸਥਿਤੀ ਦੀ ਪੁਸਟੀ ਲਈ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।
Sant Kabir Nagar City,ਸੰਤ ਕਬੀਰ ਨਗਰ ਸਿਟੀ
Bhiwandi Nizampur Thane-[U],ਭਿਵੰਡੀ ਨਿਜਾਮਪੁਰ ਠਾਣੇ-[ਯੂ]
Diyungbra Icds Project.,ਦੀਇਊਂਗਬਰਾ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ.
Scan the QR Code to Download the App,ਐਪ ਨੂੰ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ ਕਿਊਆਰ ਕੋਡ ਨੂੰ ਸਕੈਨ ਕਰੋ
Who is eligible for Hot Cooked Meal?,ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?
Kaliyaganj Additional ICDS Project,ਕਾਲੀਆਗੰਜ ਵਧੀਕ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Burdwan - II,ਬਰਦਵਾਨ - II
Chanchal - I,ਚੰਚਲ - I
Please Select Help Topic,ਕਿਰਪਾ ਕਰਕੇ ਮਦਦ ਦਾ ਵਿਸਾ ਚੁਣੋ
JOYNAGAR-II Addl ICDS PROJECT,ਜੋਏਨਗਰ-2 ਏਡੀਡੀਐਲ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
N R Pura,ਐਨ ਆਰ ਪੁਰਾ
Kanpur Nagar City 2,ਕਾਨਪੁਰ ਨਗਰ ਸਹਿਰ 2
Identifying and preventing Severe Acute Malnutrition,ਗੰਭੀਰ ਤੀਬਰ ਕੁਪੋਸਣ ਦੀ ਪਛਾਣ ਕਰਨਾ ਅਤੇ ਰੋਕਣਾ
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।"
Siaha ICDS Project,ਸਿਆਹਾ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Raina - II,ਰੈਨਾ - II
Who is eligible for additional supplementary food.,ਕੌਣ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹੈ।
Please Enter Name,ਕਿਰਪਾ ਕਰਕੇ ਨਾਮ ਦਰਜ ਕਰੋ
Anganwadi Worker profile page,ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਪ੍ਰੋਫਾਈਲ ਪੇਜ
Budaun - Uttar Pradesh,ਬੁਡੌਨ - ਉੱਤਰ ਪ੍ਰਦੇਸ
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ਪੋਸਨ ਟ੍ਰੈਕਰ ਵਿੱਚ ਆਂਗਣਵਾੜੀ ਸੇਵਾਵਾਂ ਸਕੀਮਾਂ ਦਾ ਡਾਟਾ ਅਪਲੋਡ ਕਰਨਾ (24 ਮਈ, 2021)"
Back to careers,ਰੁਜਗਾਰ 'ਤੇ ਵਾਪਸ ਜਾਓ
Chungthang Tribal Project,ਚੁੰਗਥਾਂਗ ਕਬਾਇਲੀ ਪ੍ਰੋਜੈਕਟ
Children (3 - 6 years),ਬੱਚੇ (3 - 6 ਸਾਲ)
What’s New on Poshan Tracker,ਪੋਸਣ ਟਰੈਕਰ 'ਤੇ ਨਵਾਂ ਕੀ ਹੈ
Jashpur 2 Lodam,ਜਸਪੁਰ 2 ਲੋਦਾਮ
Children between 6 months - 3 years,6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਦੇ ਵਿਚਕਾਰ ਦੇ ਬੱਚੇ
Jorethang Rural Project,ਜੋਰੇਥਾਂਗ ਪੇਂਡੂ ਪ੍ਰੋਜੈਕਟ
Prayagraj City 1,ਪ੍ਰਯਾਗਰਾਜ ਸਹਿਰ 1
KOTBHAI AT GIDDERBAHA,ਗਿੱਦੜਬਾਹਾ ਵਿਖੇ ਕੋਟਭਾਈ
1.3. Information from third parties.,1.3. ਤੀਜੀ ਧਿਰ ਤੋਂ ਜਾਣਕਾਰੀ।
Preventing anemia in women,ਔਰਤਾਂ ਵਿੱਚ ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣਾ
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲਾ, ਭਾਰਤ ਸਰਕਾਰ, ਸਾਸਤਰੀ ਭਵਨ, ਨਵੀਂ ਦਿੱਲੀ"
Care of the weak newborn baby - How many weak babies are we missing?,ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ - ਅਸੀਂ ਕਿੰਨੇ ਕਮਜੋਰ ਬੱਚੇ ਗੁਆ ਰਹੇ ਹਾਂ?
7. CHANGES TO PRIVACY POLICY,7. ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਵਿੱਚ ਤਬਦੀਲੀਆਂ
Underweight children who received Supplementary Nutrition,ਘੱਟ ਵਜਨ ਵਾਲੇ ਬੱਚੇ ਜਿਨ੍ਹਾਂ ਨੇ ਪੂਰਕ ਆਹਾਰ ਪ੍ਰਾਪਤ ਕੀਤਾ
Beneficiary deletion by AWW,AWW ਦੁਆਰਾ ਲਾਭਪਾਤਰੀ ਮਿਟਾਉਣਾ
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.","ਤੁਸੀਂ ਪੋਸਣ ਐਟਲਸ ਅਤੇ ਇਸਦੇ ਸਹਿਯੋਗੀਆਂ, ਇਸਦੇ ਅਧਿਕਾਰੀਆਂ, ਨਿਰਦੇਸਕਾਂ, ਕਰਮਚਾਰੀਆਂ ਅਤੇ ਏਜੰਟਾਂ ਦਾ ਕਿਸੇ ਵੀ ਅਤੇ ਸਾਰੇ ਦਾਅਵਿਆਂ, ਹਰਜਾਨੇ, ਜਿੰਮੇਵਾਰੀਆਂ, ਨੁਕਸਾਨ, ਦੇਣਦਾਰੀਆਂ, ਲਾਗਤਾਂ ਜਾਂ ਕਰਜੇ, ਅਤੇ ਖਰਚਿਆਂ (ਅਟਾਰਨੀ ਦੀਆਂ ਫੀਸਾਂ ਸਮੇਤ ਪਰ ਇਸ ਤੱਕ ਸੀਮਤ ਨਹੀਂ) ਤੋਂ ਅਤੇ ਵਿਰੁੱਧ ਬਚਾਅ ਕਰਨ, ਮੁਆਵਜਾ ਦੇਣ ਅਤੇ ਰੱਖਣ ਲਈ ਸਹਿਮਤ ਹੁੰਦੇ ਹੋਃਸੇਵਾ ਅਤੇ ਸਾਈਟ ਦੀ ਤੁਹਾਡੀ ਵਰਤੋਂ ਅਤੇ ਪ੍ਰਵੇਸ;ਤੁਹਾਡੇ ਦੁਆਰਾ ਇਸ ਸਮਝੌਤੇ ਦੀ ਕਿਸੇ ਵੀ ਮਿਆਦ ਦੀ ਉਲੰਘਣਾ;ਤੁਹਾਡੇ ਦੁਆਰਾ ਕਿਸੇ ਵੀ ਤੀਜੀ ਧਿਰ ਦੇ ਅਧਿਕਾਰ ਦੀ ਉਲੰਘਣਾ, ਬਿਨਾਂ ਸੀਮਾ ਦੇ, ਕੋਈ ਵੀ ਕਾਪੀਰਾਈਟ, ਜਾਇਦਾਦ, ਜਾਂ ਗੋਪਨੀਅਤਾ ਅਧਿਕਾਰ; ਜਾਂਕੋਈ ਵੀ ਦਾਅਵਾ ਕਿ ਤੁਹਾਡੀ ਵਰਤੋਂਕਾਰ ਸਮੱਗਰੀ ਨੇ ਕਿਸੇ ਤੀਜੀ ਧਿਰ ਨੂੰ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ।"
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,ਇਹ ਬਚਾਅ ਅਤੇ ਮੁਆਵਜੇ ਦੀ ਜਿੰਮੇਵਾਰੀ ਇਸ ਸਮਝੌਤੇ ਅਤੇ ਤੁਹਾਡੀ ਸੇਵਾ ਅਤੇ ਵੈੱਬਸਾਈਟ/ਐਪ ਦੀ ਵਰਤੋਂ ਤੋਂ ਬਚੇਗੀ।
SURI - II,ਸੂਰੀ - II
ICDS (Tribal Project),ਆਈਸੀਡੀਐਸ (ਕਬਾਇਲੀ ਪ੍ਰੋਜੈਕਟ)
Kakdwip Addl ICDS Project,ਕਾਕਦੀਪ ਏਡੀਡੀਐਲ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Ranir Bazar N/P,ਰਾਨੀਰ ਬਾਜਾਰ ਐਨ/ਪੀ
Children (0-6 months),ਬੱਚੇ (0-6 ਮਹੀਨੇ)
Identification and care of a Weak Newborn baby,ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਪਛਾਣ ਅਤੇ ਦੇਖਭਾਲ
Harangajao Icds Project,ਹਰੰਗਾਜਾਓ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Sivnee Rural -1,ਸਿਵਨੀ ਦਿਹਾਤੀ-1
Dera Baba Nanak,ਡੇਰਾ ਬਾਬਾ ਨਾਨਕ
1.2. Information from use of services.,1.2. ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਤੋਂ ਜਾਣਕਾਰੀ।
Please contact your respective Anganwadi Centre.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।
Chanchal - II,ਚੰਚਲ - II
State Video Conference,ਰਾਜਸੀ ਵੀਡਿਓ ਕਾਨਫਰੰਸ
Uttar Bastar Kanker,ਉੱਤਰ ਬਸਤਰਕੰਕਰ
"Jatinga Valley Icds Project, Mahur","ਜਟਿੰਗਾ ਵੈਲੀ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ, ਮਹੂਰ"
Ratua - II,ਰਤੁਆ - II
6m - 3y,6 ਮਹੀਨਾ ਤੋਂ  3 ਸਾਲ
Kushi Nagar City,ਕੁਸੀ ਨਗਰ ਸਹਿਰ
Take Home Ration,ਰਾਸਨ ਘਰ ਲਿਜਾਉ
Raina - I,ਰੈਨਾ - I
Chandrakona - II,ਚੰਦਰਕੋਣਾ - II
Mohgaon - T,ਮੋਹਗਾਂਵ - ਟੀ
12 Digit Number,12 ਅੰਕਾਂ ਦਾ ਨੰਬਰ
About Reference tables,ਸੰਬੰਧਿਤ ਸਾਰਣੀ ਬਾਰੇ
GOBARDANGA I. C. D. S PROJECT(U),ਗੋਬਰਦਾਂਗਾ ਆਈ. ਸੀ. ਡੀ. ਐਸ ਪ੍ਰੋਜੈਕਟ (ਯੂ)
Please fill in the form below to create a new ticket.,ਕਿਰਪਾ ਕਰਕੇ ਨਵੀਂ ਟਿਕਟ ਬਣਾਉਣ ਲਈ ਹੇਠਾਂ ਦਿੱਤੇ ਫਾਰਮ ਨੂੰ ਭਰੋ।
Anganwadi Worker will reach out to you within 48 hours.,ਆਂਗਣਵਾੜੀ ਵਰਕਰ 48 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਤੁਹਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰੇਗੀ।
Goregaon East (U),ਗੋਰੇਗਾਂਵ ਪੂਰਬੀ (ਯੂ)
RISHRA-KONNAGAR(U) ICDS PROJECT,ਰਿਸਰਾ-ਕੋਨਨਗਰ (ਯੂ) ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Default language selection,ਮੂਲ ਭਾਸਾ ਚੋਣ
Your request is received.,ਤੁਹਾਡੀ ਬੇਨਤੀ ਪ੍ਰਾਪਤ ਕਰ ਲਈ ਹੈ।
Please note down the ticket number for future reference.,ਭਵਿੱਖ ਦੇ ਸੰਦਰਭ ਲਈ ਕਿਰਪਾ ਕਰਕੇ ਟਿਕਟ ਨੰਬਰ ਨੋਟ ਕਰੋ।
Please enter Ticket Number,ਕਿਰਪਾ ਕਰਕੇ ਟਿਕਟ ਨੰਬਰ ਭਰੋ
We believe in building doers.,ਅਸੀਂ ਕੰਮ ਕਰਨ ਵਾਲਿਆਂ ਦੀ ਉਸਾਰੀ ਵਿੱਚ ਵਿਸਵਾਸ ਰੱਖਦੇ ਹਾਂ।
Poshan Tracker is a project of Ministry of Women and Child Development.,ਪੋਸਨ ਟ੍ਰੈਕਰ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ ਦਾ ਪ੍ਰੋਜੈਕਟ ਹੈ।
Digital India Corporation is the technical partner of MoWCD.,ਡਿਜੀਟਲ ਇੰਡੀਆ ਕਾਰਪੋਰੇਸਨ MoWCD ਦਾ ਤਕਨੀਕੀ ਭਾਈਵਾਲ ਹੈ।
Poshan Tracker focuses on eradication of malnutrition from India.,ਪੋਸਨ ਟ੍ਰੈਕਰ ਭਾਰਤ ਵਿੱਚੋਂ ਕੁਪੋਸਣ ਦੇ ਖਾਤਮੇ 'ਤੇ ਕੇਂਦਰਿਤ ਹੈ।
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ਇਹ ਪੋਸਣ ਅਭਿਆਨ ਅਧੀਨ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਸੁਧਾਰਨ ਦੀ ਵਿਧੀ ਵਜੋਂ ਕੰਮ ਕਰਦਾ ਹੈ
Turvihal - Kannatagi,ਤੁਰਵਿਹਾਲ - ਕੰਨਟਗੀ
Anganwadi Worker Training,ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਸਿਖਲਾਈ
St Thomas Mount,ਸੇਂਟ ਥਾਮਸ ਮਾਉਂਟ
