eng,or
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","ଶିଶୁ, କିଶୋର, ଗର୍ଭବତୀ ମହିଳା ଏବଂ ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା'ଙ୍କ ପାଇଁ ପୁଷ୍ଟିକର ଫଳାଫଳକୁ ସୁଦୃଢ କରିବା ପାଇଁ ପୋଶନ୍ ଅଭିଆନ୍ ହେଉଛି ଭାରତର ଫ୍ଲାଗସିପ୍ କାର୍ଯ୍ୟକ୍ରମ, ଏକ ଲକ୍ଷ୍ୟ ଧାର୍ଯ୍ୟ ଆଭିମୁଖ୍ୟ ଏବଂ ସମ୍ମିଶ୍ରଣ |ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ପୋର୍ଟାଲ୍ କିମ୍ବା ଆପ୍ ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ ଦ୍ବାରା ପରିଚାଳିତ, ଭାରତ ସରକାର, ପରବର୍ତ୍ତୀ ସମୟରେ ଏହାକୁ ""MWCD"", ""ଆମର"", ""ଆମ୍ଭେ"", ""ଆମେ"" କୁହାଯାଏ ଯାହାକି ଅନ୍ୟ ବିଭାଗ ଏବଂ ବିଭାଗର ଏକ ରେଫରେନ୍ସ ଅନ୍ତର୍ଭୂକ୍ତ କରିବ | କାର୍ଯ୍ୟକ୍ରମ / ଅଭିଯାନ | ଏହି ନୀତିରେ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ପୋର୍ଟାଲ୍ କିମ୍ବା ଆପ୍ ର ସନ୍ଦର୍ଭରେ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ କିମ୍ବା ଅନ୍ୟ କୌଣସି ଆପ୍ କିମ୍ବା ପୋର୍ଟାଲ୍ ଅନ୍ତର୍ଭୂକ୍ତ ହୋଇଛି ଯାହାକି API / ସମ୍ବନ୍ଧୀୟ ସାଇଟ୍, ଆପ୍, ଯୋଗାଯୋଗ ଏବଂ ସେବା (""ସେବା"") ମାଧ୍ୟମରେ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ସହିତ ଏକୀଭୂତ ହୋଇଛି ଏବଂ ପରବର୍ତ୍ତୀ ସମୟରେ ସାମୂହିକ ଭାବରେ ""ପୃଷ୍ଟିକର ଟ୍ରାକର୍ କିମ୍ବା ସିଷ୍ଟମ୍"" ଭାବରେ ପରିଚିତ |""ଯେତେବେଳେ ଆପଣ ଆମର ସେବା ବ୍ୟବହାର କରନ୍ତି (ନିମ୍ନରେ ବର୍ଣ୍ଣିତ) ଆମର ଗୋପନୀୟତା ନୀତି ପ୍ରଯୁଜ୍ୟ | ଆମେ କେଉଁ ତଥ୍ୟ ସଂଗ୍ରହ କରୁ, କାହିଁକି ଆମେ ଏହାକୁ ସଂଗ୍ରହ କରୁ, ଏବଂ ଏହା କିପରି ବ୍ୟବହୃତ ହୁଏ ଏବଂ ଅଂଶୀଦାର ହୁଏ ତାହା ବୁଝିବାରେ ସାହାଯ୍ୟ କରିବାକୁ ଏହି ଗୋପନୀୟତା ନୀତି ଉଦ୍ଦିଷ୍ଟ | ତୁମର ସୂଚନା ସମ୍ବନ୍ଧରେ ସଂଗ୍ରହ ଏବଂ ସଂରକ୍ଷଣ ସଂସ୍ଥା ହେଉଛି MWCD |ଆମେ ଆପଣଙ୍କର ବ୍ୟକ୍ତିଗତ ସୂଚନାର ସୁରକ୍ଷା ଏବଂ ଆପଣଙ୍କର ଗୋପନୀୟତା ରକ୍ଷା କରିବାକୁ ପ୍ରତିଶ୍ରୁତିବଦ୍ଧ | ସିଷ୍ଟମରେ ସଂଗୃହିତ ଏବଂ ପ୍ରକ୍ରିୟାକୃତ ଯେକୌଣସି ସୂଚନା କିମ୍ବା ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ ସୂଚନା ପ୍ରଯୁକ୍ତିବିଦ୍ୟା ଅଧିନିୟମ, 2000 ଏହାର ନିୟମ ଏବଂ ବ୍ୟକ୍ତିଗତ ତଥ୍ୟ ସଂଗ୍ରହ ଏବଂ ପ୍ରକ୍ରିୟାକରଣ ସମ୍ବନ୍ଧୀୟ ଅନ୍ୟାନ୍ୟ ଜାତୀୟ ତଥା ରାଜ୍ୟ ଆଇନ ସହିତ ପଢାଯାଇଥାଏ |ଏହି ଗୋପନୀୟତା ନୀତି  https://poshantracker.in ରେ ଉପଲବ୍ଧ ସେବା ସର୍ତ୍ତାବଳୀ ସହିତ ପଢିବା ଆବଶ୍ୟକ | ଏହି ଗୋପନୀୟତା ନୀତି ଏବଂ ସେବା ସର୍ତ୍ତାବଳୀକୁ ଗ୍ରହଣ କରିବା ପରେ ସିଷ୍ଟମର ଆପଣଙ୍କର ପ୍ରବେଶ ଏବଂ ବ୍ୟବହାର ସର୍ତ୍ତମୂଳକ ଅଟେ | ସିଷ୍ଟମ୍ ଆକ୍ସେସ୍ ଏବଂ / କିମ୍ବା ବ୍ୟବହାର କରି, ଆପଣ ପ୍ରତିନିଧିତ୍ବ କରନ୍ତି ଯେ ଆପଣ ସେବା ସର୍ତ୍ତାବଳୀ ଏବଂ ଏହି ଗୋପନୀୟତା ନୀତି ଦ୍ବାରା ପଢିଛନ୍ତି, ବୁଝିଛନ୍ତି ଏବଂ ବନ୍ଧା ହୋଇଛନ୍ତି, ଏବଂ ଆପଣ ଆପଣଙ୍କର ସୂଚନା ଏବଂ ତଥ୍ୟ ସଂଗ୍ରହ, ସଂରକ୍ଷଣ ଏବଂ ବ୍ୟବହୃତ ପଦ୍ଧତିରେ ବ୍ୟବହାର କରିବାକୁ ସହମତ ଅଟନ୍ତି | ଏହି ଗୋପନୀୟତା ନୀତିରେ |ଆପଣ ଏଠାରେ ସ୍ବୀକାର କରନ୍ତି ଯେ ଏହି ଗୋପନୀୟତା ନୀତିର ଧାରା 2 ଏବଂ 3 ରେ ନିର୍ଦ୍ଦିଷ୍ଟ ଉଦ୍ଦେଶ୍ୟ ପୂରଣ କରିବା ପାଇଁ ଏହି ଗୋପନୀୟତା ନୀତିର ଧାରା 1 ରେ ବର୍ଣ୍ଣନା କରାଯାଇଥିବା ପରି ଆପଣଙ୍କର ସୂଚନା ସଂଗ୍ରହ ଆବଶ୍ୟକ |"
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,ଯଦି ତୁମେ ଓଜନ କମ ତେବେ କିପରି ତୁମର ସ୍ୱାସ୍ଥ୍ୟକୁ ପୁନର୍ଜୀବିତ କରିବ ।
Can a beneficiary change his/her AWC?,ଜଣେ ହିତାଧିକାରୀ ତାଙ୍କର AWC ପରିବର୍ତ୍ତନ କରିପାରିବେ କି?
Ensuring Exclusive Breastfeeding,ସ୍ୱତନ୍ତ୍ର ସ୍ତନ୍ୟପାନ କରାଇବା ସୁନିଶ୍ଚିତ
Koppal - Karnataka,କୋପ୍ପଲ - କର୍ଣ୍ଣାଟକ
Udaipur N/P Icds,ଉଦୟପୁର ଏନ/ପି ଆଇସିଡି
North Garo Hills,ଉତ୍ତର ଗାରୋ ପାହାଡ
"We use the information we have, to help verify accounts.The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",ଖାତା ଯାଞ୍ଚ କରିବାରେ ସାହାଯ୍ୟ କରିବାକୁ ଆମେ ପାଖରେ ଥିବା ସୂଚନା ବ୍ୟବହାର କରୁ | ରେକର୍ଡଗୁଡିକ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ନିୟନ୍ତ୍ରଣ ଏବଂ ପ୍ରତିକ୍ରିୟା ଉଦ୍ଦେଶ୍ୟରେ ସ୍ୱାସ୍ଥ୍ୟ ସ୍ଥିତିର ଯାଞ୍ଚ ପାଇଁ ବ୍ୟବହୃତ ହୋଇପାରେ |
Sant Kabir Nagar City,ସନ୍ଥ କବୀର ନଗର ସହର
Bhiwandi Nizampur Thane-[U],ଭିୱାଣ୍ଡି ନିଜାମପୁର ଥାନେ-[ୟୁ]
Diyungbra Icds Project.,ଡିୟୁଙ୍ଗବ୍ରା ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ।
Scan the QR Code to Download the App,ଆପ୍ ଡାଉନଲୋଡ୍ କରିବାକୁ କ୍ୟୁଆର୍ କୋଡ୍ ସ୍କାନ୍ କରନ୍ତୁ
Who is eligible for Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?
Kaliyaganj Additional ICDS Project,କାଲିଆଗଞ୍ଜ ଆଡିସନାଲ୍ ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
Burdwan - II,ବର୍ଦ୍ଧମାନ - II
Chanchal - I,ଚାଞ୍ଚଲ - I
Please Select Help Topic,ଦୟାକରି ସହାୟତା ପ୍ରସଙ୍ଗ ଚୟନ କରନ୍ତୁ
JOYNAGAR-II Addl ICDS PROJECT,ଜୟନଗର-2 ଆଡିସନାଲ୍ ଆଇସିଡିଏସ ପ୍ରୋଜେକ୍ଟ
N R Pura,ଏନ ଆର ପୁରା
Kanpur Nagar City 2,କାନପୁର ନଗର ସିଟି 2
Identifying and preventing Severe Acute Malnutrition,ଗୁରୁତର ତୀବ୍ର ପୁଷ୍ଟିହୀନତାକୁ ଚିହ୍ନଟ କରିବା ଏବଂ ପ୍ରତିରୋଧ କରିବା
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |
Siaha ICDS Project,ସିଆ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Raina - II,ରାଇନା - II
Who is eligible for additional supplementary food.,କିଏ ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ ଯୋଗ୍ୟ ଅଟେ |
Please Enter Name,ଦୟାକରି ନାମ ପ୍ରବେଶ କରନ୍ତୁ
Anganwadi Worker profile page,ଅଙ୍ଗନୱାଡି ୱାର୍କର ପ୍ରୋଫାଇଲ୍ ପୃଷ୍ଠା
Budaun - Uttar Pradesh,ବୁଦୌଁ - ଉତ୍ତରପ୍ରଦେଶ
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ପୋଷଣ ଟ୍ରାକରରେ ଅଙ୍ଗନୱାଡି ସେବା ସ୍କିମଗୁଡିକର ଡାଟା ଅପଲୋଡ୍ (24 ମଇ, 2021)"
Back to careers,କ୍ୟାରିୟରକୁ ଫେରନ୍ତୁ
Chungthang Tribal Project,ଚୁଙ୍ଗଥାଙ୍ଗ ଆଦିବାସୀ ପ୍ରକଳ୍ପ
Children (3 - 6 years),ପିଲାମାନେ (3 - 6 ବର୍ଷ)
What’s New on Poshan Tracker,ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ରେ କଣ ନୂଆ ଅଛି
Jashpur 2 Lodam,ଜଶପୁର 2 ଲୋଦମ
Children between 6 months - 3 years,6 ମାସ -3 ବର୍ଷ ମଧ୍ୟରେ ପିଲାମାନେ
Jorethang Rural Project,ଜୋରେଥାଙ୍ଗ ଗ୍ରାମୀଣ ପ୍ରକଳ୍ପ
Prayagraj City 1,ପ୍ରୟାଗରାଜ ସିଟି 1
KOTBHAI AT GIDDERBAHA,ଜିଡର୍ବାହାରେ କୋଟଭାଇ
1.3. Information from third parties.,1.3. ତୃତୀୟ ପକ୍ଷରୁ ସୂଚନା |
Preventing anemia in women,ମହିଳାମାନଙ୍କଠାରେ ରକ୍ତହୀନତା ରୋକିବା
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ, ଭାରତ ସରକାର, ଶାସ୍ତ୍ରୀ ଭବନ, ନୂଆଦିଲ୍ଲୀ"
Care of the weak newborn baby - How many weak babies are we missing?,ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ଯତ୍ନ - ଆମେ କେତେ ଦୁର୍ବଳ ଶିଶୁ ହରାଉଛୁ?
7. CHANGES TO PRIVACY POLICY,7. ବ୍ୟକ୍ତିଗତ ନୀତିରେ ପରିବର୍ତ୍ତନ
Underweight children who received Supplementary Nutrition,ସପ୍ଲିମେଣ୍ଟାରୀ ପୁଷ୍ଟିକର ଗ୍ରହଣ କରିଥିବା ଅଳ୍ପ ଓଜନ ବିଶିଷ୍ଟ ପିଲାମାନେ
Beneficiary deletion by AWW,ଏଡବ୍ଲୁଡବ୍ଲୁ ଦ୍ୱାରା ହିତାଧିକାରୀ ବିଲୋପ
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.","ବିନା କ୍ଷତିକାରକ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଏବଂ ଏହାର ସହଯୋଗୀ, ଏହାର ଅଧିକାରୀ, ନିର୍ଦ୍ଦେଶକ, କର୍ମଚାରୀ ଏବଂ ଏଜେଣ୍ଟମାନଙ୍କୁ, ଯେକୌଣସି ତଥା ସମସ୍ତ ଦାବି, କ୍ଷତି, ବାଧ୍ୟତାମୂଳକ, କ୍ଷତି, ଦାୟିତ୍ବ, ଖର୍ଚ୍ଚ କିମ୍ବା ଏବଂ ସୀମିତ ନୁହେଁ, ପ୍ରତିରକ୍ଷା, କ୍ଷତିପୂରଣ ଏବଂ ଧାରଣ କରିବାକୁ ଆପଣ ରାଜି ଅଟନ୍ତି | ଯେକୌଣସି ଅଭିଯୋଗ କିମ୍ବା ତୃତୀୟ-ପକ୍ଷ ଆଇନଗତ ପ୍ରକ୍ରିୟା ସମ୍ବନ୍ଧୀୟ ଆଟର୍ଣ୍ଣି ଫିସକୁଃଆପଣଙ୍କର ବ୍ୟବହାର ଏବଂ ସାଇଟ୍ ଏବଂ ସେବାକୁ ପ୍ରବେଶ;ଏହି ଚୁକ୍ତିନାମାର ଯେକୌଣସି ଶବ୍ଦର ଉଲ୍ଲଂଘନ;କୌଣସି ତୃତୀୟ ପକ୍ଷର ଅଧିକାରର ଉଲ୍ଲଂଘନ, ସୀମିତତା ବିନା, କୌଣସି କପିରାଇଟ୍, ସମ୍ପତ୍ତି, କିମ୍ବା ଗୋପନୀୟତା ଅଧିକାର; କିମ୍ବାଯେକୌଣସି ଦାବି ଯେ ଆପଣଙ୍କର ଉପଭୋକ୍ତା ବିଷୟବସ୍ତୁ ଏକ ତୃତୀୟ ପକ୍ଷକୁ କ୍ଷତି ପହଞ୍ଚାଇଲା | ଏହି ପ୍ରତିରକ୍ଷା ଏବଂ କ୍ଷତିପୂରଣ ବାଧ୍ୟତାମୂଳକ ଏହି ଚୁକ୍ତିନାମା ଏବଂ ସେବା ଏବଂ ୱେବସାଇଟ୍ / ଆପ୍ ର ବ୍ୟବହାରକୁ ବଞ୍ଚାଇବ |"
SURI - II,ସୁରୀ - II
ICDS (Tribal Project),ଆଇସିଡିଏସ୍ (ଆଦିବାସୀ ପ୍ରକଳ୍ପ)
Kakdwip Addl ICDS Project,କାକଡୱିପ୍ ଆଡିସନାଲ୍ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Ranir Bazar N/P,ରାନିର ବଜାର ଏନ/ପି
Children (0-6 months),ପିଲାମାନେ (0-6 ମାସ)
Identification and care of a Weak Newborn baby,ଏକ ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ପରିଚୟ ଏବଂ ଯତ୍ନ
Harangajao Icds Project,ହରଙ୍ଗାଜାଓ ଇକ୍ସ ପ୍ରୋଜେକ୍ଟ
Sivnee Rural -1,ସିଭନି ଗ୍ରାମୀଣ -1
Dera Baba Nanak,ଡେରା ବାବା ନାନକ
1.2. Information from use of services.,1.2. ସେବାଗୁଡିକର ବ୍ୟବହାରରୁ ସୂଚନା |
Please contact your respective Anganwadi Centre.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |
Chanchal - II,ଚାଞ୍ଚଲ - II
State Video Conference,ରାଜ୍ୟ ଭିଡିଓ ସମ୍ମିଳନୀ
Uttar Bastar Kanker,ଉତ୍ତର ବସ୍ତର କାଙ୍କେର
"Jatinga Valley Icds Project, Mahur","ଜାଟିଙ୍ଗା ଭ୍ୟାଲି ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ, ମହୁର"
Ratua - II,ରତୁଆ - II
6m - 3y,6 ମାସ-3 ବର୍ଷ
Kushi Nagar City,କୁଶି ନଗର ସହର
Take Home Ration,ଘର ରାସନ ନିଅନ୍ତୁ
Raina - I,ରାଇନା - I
Chandrakona - II,ଚନ୍ଦ୍ରକୋଣ - II
Mohgaon - T,ମୋହଗାଓଁ - ଟି
12 Digit Number,12 ଅଙ୍କ ବିଶିଷ୍ଟ ନମ୍ବର୍
About Reference tables,ପ୍ରସଙ୍ଗ ସାରଣୀଗୁଡିକ ବିଷୟରେ
GOBARDANGA I. C. D. S PROJECT(U),ଗୋବର୍ଦଙ୍ଗା ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ (ୟୁ)
Please fill in the form below to create a new ticket.Anganwadi Worker will reach out to you within 48 hours.,ଦୟାକରି ଏକ ନୂତନ ଟିକେଟ୍ ସୃଷ୍ଟି କରିବାକୁ ନିମ୍ନରେ ଥିବା ଫର୍ମ ପୂରଣ କରନ୍ତୁ | ଅଙ୍ଗନୱାଡି କର୍ମୀ 48 ଘଣ୍ଟା ମଧ୍ୟରେ ଆପଣଙ୍କ ନିକଟରେ ପହଞ୍ଚିବ |
Goregaon East (U),ଗୋରେଗାଓଁ ପୂର୍ବ (ୟୁ)
RISHRA-KONNAGAR(U) ICDS PROJECT,ରିଶ୍ରା-କୋନାଗର(ୟୁ) ଆଇସିଡିଏସ୍ ପ୍ରକଳ୍ପ
Default language selection,ଡିଫଲ୍ଟ ଭାଷା ଚୟନ
Your request is received.,ଆପଣଙ୍କ ଅନୁରୋଧ ପ୍ରାପ୍ତ ହୋଇଛି।
Please note down the ticket number for future reference.,ଦୟାକରି ଭବିଷ୍ୟତ ରେଫରେନ୍ସ ପାଇଁ ଟିକେଟ୍ ନମ୍ବର୍ ନୋଟ୍ କରନ୍ତୁ।
Please enter Ticket Number,ଦୟାକରି ଟିକେଟ୍ ନମ୍ବର୍ ପ୍ରବେଶ କରନ୍ତୁ
We believe in building doers.,ଆମେ ନିର୍ମାଣକାରୀମାନଙ୍କ ଉପରେ ବିଶ୍ୱାସ କରୁ ।
Poshan Tracker is a project of Ministry of Women and Child Development.,ପୋଷଣ ଟ୍ରାକର ହେଉଛି ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟର ଏକ ପ୍ରକଳ୍ପ ।
Digital India Corporation is the technical partner of MoWCD.,ଡିଜିଟାଲ ଇଣ୍ଡିଆ କର୍ପୋରେସନ ହେଉଛି MoWCDର ବୈଷୟିକ ଅଂଶୀଦାର ।
Poshan Tracker focuses on eradication of malnutrition from India.,ପୋଷଣ ଟ୍ରାକର ଭାରତରୁ ପୁଷ୍ଟିହୀନତା ନିରାକରଣ ଉପରେ ଧ୍ୟାନ ଦେଇଥାଏ ।
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ଏହା ପୋଷଣ ଅଭିଯାନ ଅଧୀନରେ ସେବା ବିତରଣ ଉପରେ ନଜର ରଖିବା ଏବଂ ଉନ୍ନତି କରିବା ପାଇଁ ଏକ ପ୍ରଣାଳୀ ଭାବରେ କାର୍ଯ୍ୟ କରେ
Turvihal - Kannatagi,ତୁର୍ଭିହାଲ - କନ୍ନାଟାଗି
Anganwadi Worker Training,ଅଙ୍ଗନୱାଡି କର୍ମୀ ତାଲିମ
