eng,ml
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,നിങ്ങൾക്ക് ഭാരം കുറവാണെങ്കിൽ നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം
Can a beneficiary change his/her AWC?,ഒരു ഗുണഭോക്താവിന് അവന്റെ/അവളുടെ AWC മാറ്റാൻ കഴിയുമോ?
Ensuring Exclusive Breastfeeding,എക്സ്ക്ലൂസീവ് മുലയൂട്ടൽ ഉറപ്പാക്കുന്നു
Koppal - Karnataka,കോപ്പൽ - കർണാടക
Udaipur N/P Icds,ഉദയ്പൂർ എൻ/പി ഐസിഡിഎസ്
North Garo Hills,നോർത്ത് ഗാരോ ഹിൽസ്
"We use the information we have, to help verify accounts.",അക്കൌണ്ടുകൾ സ്ഥിരീകരിക്കാൻ സഹായിക്കുന്നതിന് ഞങ്ങളുടെ പക്കലുള്ള വിവരങ്ങൾ ഞങ്ങൾ ഉപയോഗിക്കുന്നു.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,പോഷൻ ട്രാക്കർ നിയന്ത്രണത്തിനും പ്രതികരണത്തിനും വേണ്ടി ആരോഗ്യ നില പരിശോധിക്കുന്നതിന് രേഖകൾ ഉപയോഗിക്കാം.
Sant Kabir Nagar City,സന്ത് കബീർ നഗർ സിറ്റി
Bhiwandi Nizampur Thane-[U],ഭിവണ്ടി നിസാംപൂർ താനെ-[യു]
Diyungbra Icds Project.,ഡിയുങ്ബ്ര ഐസിഡിഎസ് പ്രോജക്ട്.
Scan the QR Code to Download the App,ആപ്പ് ഡൌൺലോഡ് ചെയ്യുന്നതിന് ക്യുആർ കോഡ് സ്കാൻ ചെയ്യുക
Who is eligible for Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തിന് അർഹതയുള്ളത് ആരാണ്?
Kaliyaganj Additional ICDS Project,കലിയഗഞ്ച് അഡീഷണൽ ഐസിഡിഎസ് പ്രോജക്ട്
Burdwan - II,ബർദ്വാൻ - II
Chanchal - I,ചഞ്ചൽ - I
Please Select Help Topic,ദയവായി സഹായ വിഷയം തിരഞ്ഞെടുക്കുക
JOYNAGAR-II Addl ICDS PROJECT,ജോയ്നഗർ-II എഡിഡിഎൽ ഐസിഡിഎസ് പ്രോജക്ട്
N R Pura,എൻ ആർ പുര
Kanpur Nagar City 2,കാൺപൂർ നഗർ സിറ്റി 2
Identifying and preventing Severe Acute Malnutrition,ഗുരുതരമായ പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുകയും തടയുകയും ചെയ്യുക
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.
Siaha ICDS Project,സിയാഹ ഐസിഡിഎസ് പ്രോജക്ട്
Raina - II,റെയ്ന - II
Who is eligible for additional supplementary food.,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് അർഹതയുള്ളവർ.
Please Enter Name,ദയവായി പേര് നൽകുക
Anganwadi Worker profile page,അംഗൻവാടി പ്രവർത്തകയുടെ പ്രൊഫൈൽ പേജ്
Budaun - Uttar Pradesh,ബുഡാൻ - ഉത്തർപ്രദേശ്
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","അംഗൻവാടി സേവന പദ്ധതികളുടെ ഡാറ്റ പോഷൻ ട്രാക്കറിൽ അപ്ലോഡ് ചെയ്യുന്നു (24 മേയ്, 2021)"
Back to careers,തിരികെ കരിയറിലേക്ക്
Chungthang Tribal Project,ചുങ്താങ് ആദിവാസി പ്രോജക്ട്
Children (3 - 6 years),കുട്ടികൾ (3-6 വയസ്സ്)
What’s New on Poshan Tracker,പോഷൻ ട്രാക്കറിൽ എന്താണ് പുതിയത്
Jashpur 2 Lodam,ജഷ്പൂർ 2 ലോദം
Children between 6 months - 3 years,6 മാസം മുതൽ 3 വയസ് വരെയുള്ള ചെയ്തു
Jorethang Rural Project,ജോറെതാങ് ഗ്രാമീണ പ്രോജക്ട്
Prayagraj City 1,പ്രയാഗ്രാജ് സിറ്റി 1
KOTBHAI AT GIDDERBAHA,ഗിദ്ദെർബഹയിൽ കോത്ഭായ്
1.3. Information from third parties.,1.3. മൂന്നാം കക്ഷികളിൽ നിന്നുള്ള വിവരങ്ങൾ.
Preventing anemia in women,സ്ത്രീകളിൽ വിളർച്ച തടയുന്നു
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","വനിതാ-ശിശു വികസന മന്ത്രാലയം, ഇന്ത്യാ ഗവൺമെന്റ്, ശാസ്ത്ര ഭവൻ, ന്യൂഡൽഹി"
Care of the weak newborn baby - How many weak babies are we missing?,ആഴ്ചയിലെ നവജാത ശിശുവിന്റെ സംരക്ഷണം - എത്ര ആഴ്ചകളിലെ കുഞ്ഞുങ്ങളെ നമുക്ക് കാണാതാവുന്നു?
7. CHANGES TO PRIVACY POLICY,7. സ്വകാര്യതാ നയത്തിലെ മാറ്റങ്ങൾ
Underweight children who received Supplementary Nutrition,സപ്ലിമെന്ററി പോഷകാഹാരം ലഭിച്ച ഭാരക്കുറവുള്ള കുട്ടികൾ
Beneficiary deletion by AWW,AWW ഗുണഭോക്താവിനെ ഇല്ലാതാക്കുന്നു
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.","നിരുപദ്രവകാരിയായ പോഷൻ ട്രാക്കറും അതിന്റെ അഫിലിയേറ്റുകളും, അതിന്റെ ഓഫീസർമാർ, ഡയറക്ടർമാർ, ജീവനക്കാർ, ഏജന്റുമാർ എന്നിവരിൽ നിന്നും എല്ലാ ക്ലെയിമുകൾ, നാശനഷ്ടങ്ങൾ, ബാധ്യതകൾ, നഷ്ടങ്ങൾ, ബാധ്യതകൾ, ചെലവുകൾ അല്ലെങ്കിൽ കടം, ചെലവുകൾ എന്നിവയ്ക്ക് എതിരെ പ്രതിരോധിക്കാനും നഷ്ടപരിഹാരം നൽകാനും കൈവശം വയ്ക്കാനും നിങ്ങൾ സമ്മതിക്കുന്നു.ഏതെങ്കിലും ആരോപണവുമായി ബന്ധപ്പെട്ട അറ്റോർണി ഫീസ് അല്ലെങ്കിൽ മൂന്നാം കക്ഷി നിയമ നടപടികളിൽ നിന്ന് ഉണ്ടാകുന്ന പരിധി വരെഃസൈറ്റിലേക്കും സേവനത്തിലേക്കും നിങ്ങളുടെ ഉപയോഗവും പ്രവേശനവും;ഈ കരാറിന്റെ ഏതെങ്കിലും വ്യവസ്ഥയുടെ നിങ്ങളുടെ ലംഘനം;പരിമിതികളില്ലാതെ, ഏതെങ്കിലും പകർപ്പവകാശം, സ്വത്ത് അല്ലെങ്കിൽ സ്വകാര്യത അവകാശം എന്നിവയുൾപ്പെടെ ഏതെങ്കിലും മൂന്നാം കക്ഷി അവകാശത്തിന്റെ നിങ്ങളുടെ ലംഘനം; അഥവാനിങ്ങളുടെ ഉപയോക്തൃ ഉള്ളടക്കം ഒരു മൂന്നാം കക്ഷിക്ക് കേടുപാടുകൾ വരുത്തിയെന്ന ഏതൊരു അവകാശവാദവും.ഈ പ്രതിരോധവും നഷ്ടപരിഹാര ബാധ്യതയും ഈ കരാറിനെയും നിങ്ങളുടെ സേവനത്തിന്റെയും വെബ്സൈറ്റിന്റെയും/ആപ്പിന്റെയും ഉപയോഗത്തെയും അതിജീവിക്കും."
SURI - II,സുരി - II
ICDS (Tribal Project),ഐസിഡിഎസ് (ട്രൈബൽ പ്രോജക്ട്)
