eng,gu
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.","તમે હાનિકારક પોશન ટ્રેકર અને તેના આનુષંગિકો, તેના અધિકારીઓ, નિર્દેશકો, કર્મચારીઓ અને એજન્ટો, કોઈપણ અને તમામ દાવાઓ, નુકસાની, જવાબદારીઓ, નુકસાન, જવાબદારીઓ, ખર્ચ અથવા દેવું સહિત અને ખર્ચ સહિતની સામે અને તેની વિરુદ્ધમાં બચાવ, નુકસાન ભરપાઈ કરવા અને પકડી રાખવા માટે સંમત થાઓ છો, પરંતુ મર્યાદિત નથી.કોઈપણ આરોપ અથવા તૃતીય-પક્ષ કાનૂની કાર્યવાહીથી સંબંધિત એટર્ની ફી આનાથી ઉદ્ભવતા હદ સુધીઃસાઇટ અને સેવાનો તમારો ઉપયોગ અને ઍક્સેસ;આ કરારની કોઈપણ મુદતનું તમારું ઉલ્લંઘન;કોઈપણ તૃતીય પક્ષના અધિકારનું તમારું ઉલ્લંઘન, જેમાં મર્યાદા વિના, કોઈપણ કોપીરાઈટ, મિલકત અથવા પ્રાઇવસી અધિકારનો સમાવેશ થાય છે; અથવાકોઈપણ દાવો કે તમારી વપરાશકર્તા સામગ્રીએ તૃતીય પક્ષને નુકસાન પહોંચાડ્યું છે.આ સંરક્ષણ અને વળતરની જવાબદારી આ કરાર અને સેવા અને વેબસાઇટ/એપના તમારા ઉપયોગથી બચી જશે."
SURI - II,સુરી-II
ICDS (Tribal Project),આઈસીડીએસ (ટ્રાઈબલ પ્રોજેક્ટ)
Kakdwip Addl ICDS Project,કાકડવિપ એડીડીએલ આઈસીડીએસ પ્રોજેક્ટ
Ranir Bazar N/P,રાણી બજાર એન/પી
Children (0-6 months),બાળકો (0-6 મહિના)
Identification and care of a Weak Newborn baby,નબળા નવજાત શિશુની ઓળખ અને સંભાળ
Harangajao Icds Project,હરનગજાઓ આઈસીડીએસ પ્રોજેક્ટ
Sivnee Rural -1,સીવની રુરલ-1
Dera Baba Nanak,દેરા બાકા નાનક
1.2. Information from use of services.,1.2. સેવાઓના ઉપયોગની માહિતી.
Please contact your respective Anganwadi Centre.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.
Chanchal - II,ચંચલ-II
State Video Conference,સ્ટેટ વીડિયો કોન્ફરન્સ
Uttar Bastar Kanker,ઉત્તર બસ્તર કાંકર
"Jatinga Valley Icds Project, Mahur","જતિનગા વેલી આઈસીડીએસ પ્રોજેક્ટ, મહુર"
Ratua - II,રતુઆ-II
6m - 3y,6 માસથી - 3 વર્ષ
Kushi Nagar City,કુશી નગર શહેર
Take Home Ration,ઘરે રાશન લો
Raina - I,રેઈના-I
Chandrakona - II,ચંદ્રકોના-II
Mohgaon - T,મોહગાંવ-ટી
12 Digit Number,12 આંકડાનો નંબર
About Reference tables,સંદર્ભ કોષ્ટકો વિશે
GOBARDANGA I. C. D. S PROJECT(U),ગોબરદંગા આઈ. સી. ડી. એસ. પ્રોજેક્ટ (યુ)
Please fill in the form below to create a new ticket.,નવી ટિકિટ બનાવવા માટે કૃપા કરીને નીચેનું ફોર્મ ભરો.
Anganwadi Worker will reach out to you within 48 hours.,આંગણવાડી કાર્યકર 48 કલાકની અંદર તમારો સંપર્ક કરશે.
Goregaon East (U),ગોરેગાંવ પૂર્વ (યુ)
RISHRA-KONNAGAR(U) ICDS PROJECT,રિશરા-કોન્નાગાર(યુ) આઈસીડીએસ પ્રોજેક્ટ
Default language selection,ડિફોલ્ટ ભાષાની પસંદગી
Your request is received.,તમારી વિનંતી પ્રાપ્ત થઈ છે.
Please note down the ticket number for future reference.,ભવિષ્યના સંદર્ભ માટે કૃપા કરીને ટિકિટ નંબરની નોંધ કરી લો
Please enter Ticket Number,કૃપા કરી ટિકિટ નંબર દાખલ કરો
We believe in building doers.Poshan Tracker is a project of Ministry of Women and Child Development.Digital India Corporation is the technical partner of MoWCD.Poshan Tracker focuses on eradication of malnutrition from India.It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,અમે કર્તાઓના નિર્માણમાં માની છીએ.પોષણ ટ્રેકર એ મહિલા અને બાળ વિકાસ મંત્રાલયનો એક પ્રોજેક્ટ છે.ડિજીટલ ઈન્ડિયા કોર્પોરેશન MoWCDનું ટેકનિકલ ભાગીદાર છે.પોષણ ટ્રેકર ભારતમાંથી કુપોષણને નાબૂદ કરવા પર ધ્યાન કેન્દ્રીત કરેલ છે પોષણ અભિયાન અંતર્ગત લઘુમતિને એક મિકેનિઝમ તરીકે કાર્ય કરે છે અને પોષણ અભિયાન અંતર્ગત સર્વિસ ડિલિવરીમાં સુધારો કરે છે.
Turvihal - Kannatagi,તુરવિહલ-કન્નતગી
Anganwadi Worker Training,આંગણવાડી કાર્યકર્તા તાલીમ
St Thomas Mount,સેંટ થોમસ માઉન્ટ
Please Select Beneficiary Category,કૃપા કરીને લાભાર્થી શ્રેણી પસંદ કરો
Purbasthali - II,પુરબાસથાલી-II
3.2. Legal Disclosures.,3.2. કાનૂની જાહેરાતો.
Is poshan trackers app available over Apple I Store also?,શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?
Number of records becoming inactive and number of records migrating from one category to another,સંખ્યાબંધ રેકોર્ડ્સ નિષ્ક્રીય બની રહ્યો છે અને સંખ્યાબંધ રેકોર્ડ એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થઈ રહેલ છે
