eng,ta
Ketugram - II,கேதுகிராம் - II
Jamuria - II,ஜமூரியா - II
Pachim Mangaldai Icds Project,பச்சிம் மங்கல்தாய் ஐ. சி. டி. எஸ். புராஜக்ட்
Chandrakona - I,சந்திரகோணா - I
N & M Andaman,வடக்கு மற்றும் மத்திய அந்தமான்
Scan the QR Code to Download the App,பயன்பாட்டைப் பதிவிறக்க QR கோடை ஸ்கேன் செய்யவும்
North 24 Parganas,வடக்கு 24 பர்கானாக்கள்
UJJAIN - U,உஜ்ஜைன் - யு
Pregnant women who received Take Home Ration (THR),டேக் ஹோம் ரேஷன் (THR) பெற்ற கர்ப்பிணிப் பெண்கள்
Icds Kasrgod Addl, ஐ. சி. டி. எஸ். காஸர்காட் அடிஷனல்
Please enter valid Height,சரியான உயரத்தை உள்ளிடவும்
How one can add AWW/AWCs?,ஒருவர் அடபிள்யூடபிள்யூ / அடபிள்யூசி ஐ எவ்வாறு சேர்க்க முடியும்?
Khatra - I,கத்ரா - I
West Khasi Hills,மேற்கு காசி மலைகள்
Growth Monitoring Assessment Charts,வளர்ச்சி கண்காணிப்பு மதிப்பீட்டு விளக்கப்படங்கள்
Memari - I,மேமரி - I
Raiganj (R) Addl.,ராஜ்கஞ்ஜ் (ஆர்) அடிஷனல்
Assessment of growth in children,குழந்தைகளின் வளர்ச்சியின் மதிப்பீடு
South West Khasi Hills,தென் மேற்கு காசி மலைகள்
Request for Take Home Ration,ரேஷனை வீட்டுக்கு எடுத்துச் செல்வதற்கான கோரிக்கை
CANNING II MAIN,கேனிங் II மெயின்
Siliguri (U) ICDS PROJECT,சில்குரி (யு) ஐ. சி. டி. எஸ். புராஜக்ட்
General Awareness on SAM and MAM,SAM மற்றும் MAM பற்றிய பொது விழிப்புணர்வு
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","இல்லை, சரியான இணைய இணைப்பு இல்லாமல் பயன்பாடு செயல்படாது."
