eng,sd
Please Select Beneficiary Category,किरपा करे लाभकारी श्रेणी चुनयो
Purbasthali - II,पुरबसथाली - II
3.2. Legal Disclosures.,3.2. कानूनी प्रकटीकरण
Is poshan trackers app available over Apple I Store also?,छा पोषण ट्रेक्स एप एप्पल आई स्टोर ते मौजूद आहे?
Number of records becoming inactive and number of records migrating from one category to another,अणसुजाग थिंदड रेकार्डन जी गणप ऐं हिक विभाग खां बे॒ विभाग लडि॒यलु रेकार्डअ
Purulia - I,पुरुलिया - I
In How many languages the Poshan Tracker App is available?,पोषण ट्रेकर एप केतरियुन बो॒लियुन में मौजूद आहे?
BUDGE BUDGE - I,बज बज - I
AWWs are requested to enter their mobile numbers in the Login screen.,आंगनवाडी में कम कंदडनु खे लॉगिन स्क्रीन ते उन्ह्नु जो मोबाइल नंबर दाखिल करण जी वेंती कई वञे थी.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","तव्हां जे रजिस्टर कयल मोबाइल नंबर ते हिक ओटीपी मोकलायो वेंदो, जहिं खां पोइ तव्हां खे एम्पिन सेट करणो पवंदो."
About Poshan Tracker,पोषण टे्कर जे बारे में
Adilabad - Telangana,अदिलाबाद - तेलंगाना
CHINSURAH-MOGRA ICDS PROJECT,चीनसुराह-मोगरा आई. सी. डी. ऐस. प्रोजेक्ट
Ravang Rural Project,रावांग गो॒ठाणी प्रोजेक्ट
