eng,mr
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development,नवीन वाढ वक्र एकच आंतरराष्ट्रीय मानक प्रदान करेल जे जन्मापासून ते पाच वर्षे वयोगटातील सर्व मुलांच्या शारीरिक वाढीचे सर्वोत्तम वर्णन करेल आणि स्तनपान करवलेल्या बाळाला वाढ आणि विकासासाठी आदर्श मॉडेल म्हणून स्थापित करेल
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","स्मार्ट फोन आणि तांत्रिक सुसंगतता चाचणीचे तपशील (०२ फेब्रुवारी, २०२१)"
Real time recording and Monitoring,रिअल टाइम रेकॉर्डिंग आणि मॉनिटरिंग
Dhupguri Adl 1,धुपगुरी अतिरिक्त 1
Beneficiary count report,लाभार्थी गणना अहवाल
Kaliachak - III Adl.,कालियाचक - III अतिरिक्त
Request for child's height and weight measurement,मुलाची उंची आणि वजन मोजण्यासाठी विनंती
How to Reset MPIN?,एमपीन रीसेट कसे करावे?
Children (6 months - 3 years),मुले (6 महिने - 3 वर्षे)
Patna Sadar (4) W (21-26),पाटणा सदर (4) प (21-26)
Bhind - U,भिंड - यू
Champhai ICDS Project,चांफई आयसीडीएस प्रकल्प
Krishnagar - I,कृष्णनगर - I
Thingsulthliah ICDS Project,थिंग्सुलथलिया आयसीडीएस प्रकल्प
Please select Date of Birth,कृपया जन्मतारीख निवडा
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","तुम्ही आमच्या साइट्स, एप आणि प्लॅटफॉर्म तंत्रज्ञानासह आमच्या सेवांना भेट देता किंवा अन्यथा वापरता तेव्हा आम्ही वापर डेटा लॉग करतो."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","आम्ही कुकीज, स्थानिक स्टोरेज, जसे की ब्राउझर वेब स्टोरेज किंवा ऍप्लिकेशन डेटा कॅशे, डेटाबेस आणि काही विशिष्ट प्रकरणांमध्ये तुमची माहिती गोळा करण्यासाठी आणि वापरण्यासाठी सर्व्हर लॉगसह माहिती गोळा आणि संग्रहित करण्यासाठी विविध तंत्रज्ञानाचा वापर करू शकतो."
