eng,ur
CHAUTH KA BARWARA,چوتھ کا بروارہ
Namchi Rural Project,نامچی رورل پروجیکٹ
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.Any changes or updates will be effective immediately.You take the responsibility to check these Terms of Use periodically for changes.Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.",ہم ان شرائط کے کسی بھی حصے کو کسی بھی وقت تبدیل کرنے ، ترمیم کرنے ، شامل کرنے یا ہٹانے کا غیر مشروط حق محفوظ رکھتے ہیں ،آپ کو ایسی تبدیلیوں کے بارے میں خاص طور پر مطلع کیے بغیر ۔کوئی بھی تبدیلی یا اپ ڈیٹ فوری طور پر مؤثر ہو جائے گا ۔آپ تبدیلیوں کے لیے وقتا فوقتا استعمال کی ان شرائط کو چیک کرنے کی ذمہ داری لیتے ہیں ۔اس طرح کی نظرثانی کے بعد پلیٹ فارم کا آپ کا مسلسل استعمال ترمیم شدہ شرائط کی قبولیت پر مشتمل ہوگا ۔
Contact health centre for Pregnant Woman,حاملہ خواتین کے لیے مرکز صحت سے رابطہ کریں ۔
Project - Iii,پروجیکٹ - III
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:Their mobile number is not present in the data provided by the states to the MoWCDThey are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,اگر AWWS میں رجسٹر کرنے میں دقت یا ناکامی کا سامنا کرنا پڑے تب اس کی دو ممکنات ہیںMoWCD کو ریاست کے ذریعہ آپ کا موبائل نمبر مہیا نہیں کروایا گیا اسی لئے وہ ڈاٹا بیس میں شامل نہیں ہےMoWCD کو ریاست کے ذریعہ آپ کا موبائل نمبرابھی حالیہ مہیا کروایا گیا اسی لئے وہ ڈاٹا بیس میں شامل نہیں ہےان دونوں معاملات میں ریاستی نوڈل آفیسر کو اختیار دیا گیا ہے کہ وہ اپنی معلومات شامل / ْ ترمیم / ْفعال یا غیر فعال کسی بھی AWW. پر کر سکتے ہیں
Bilkhawthlir Icds Project,بھکاؤتھلر آئی سی ڈی ایس پروجیکٹ
No Record to Show,دکھانے کے لئے کوئی ریکارڈ نہیں ہے
Kailashahar District H.Q,کیلاشا ہار ڈسٹرکٹ ہید کورٹر
How many different types of reports can be generated over Poshan Tracker Dashboard?,پوشن ٹریکر ڈیش بورڈ سے کتنی اقسام کی رپورٹیں بر آمد کی جا سکتی ہیں
WHO standards are,ڈبلیو ایچ او کے معیار ہیں ۔
Murarai-II ICDS Project,مورارئی - II آئی سی ڈی ایس پروجیکٹ
South East Delhi,جنوب مشرقی دہلی
Ashoknagar- Kalyangarh (U),اشوک نگر - کلیان گڑھ ( اربن )
How to revive your health if you are Severely Wasted (SAM),اگر آپ شدید طور پر ضائع ہوئے ہیں( SAM) تو اپنی صحت کو کیسے زندہ کریں ۔
AWC Vaccination given in last 30 days,AWC ویکسینیشن پچھلے تیس دنوں میں دی گئی ۔
Baba Belkhar Nath Dham,بابا بیلکھر ناتھ دھام
Firozabad City 2,فیروزآباد سٹی 2
What is Poshan Calculator,پوشن کیلکولیٹر کیا ہے
Binpur - I,بین پور - I
Ldh Urban 2,لدھیانا أربن - 2
"See assessment charts for Stunted, Wasted and Underweight parameters",اسٹنٹڈ ، ویسٹڈ اور کم وزن کے پیرامیٹرز کے لیے تشخیصی چارٹ دیکھیں
Visit state page,ریاست کا صفحہ دیکھیں
Best performing districts,بہترین کارکردگی کا مظاہرہ کرنے والے اضلاع
Sandeshkhali - I,سندیش کھلی - I
Resources for growth monitoring and general awareness,ترقی کی نگرانی اور عمومی آگاہی کے لیے وسائل
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,AWW میں موجودہ بنیادی ڈھانچے کے متعلق معلومات درج کرنا درکار ہوتی ہے
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.",اس میں بنیادی عمارت ، بنیادی سہولیات صفائی اور صاف پینے کا پانی وغیرہ شامل ہیں
Lactating mothers who received Take Home Ration (THR),دودھ پلانے والی مائیں جنہوں نے ٹیک ہوم راشن ( THR) حاصل کیا
Balurghat (U),بالر گھات ( یو )
Registration of Child 6 months to 3 years,چھ ماہ سے تین سال تک کے بچے کی رجسٹریشن
Last updated on,آخری بار اپ ڈیٹ کیا گیا
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.Any changes or updates will be effective immediately.You should review this Privacy Policy regularly for changes.We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.However, as a user of the System, you should regularly check the Privacy Policy for any changes.We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.",پوشن ٹریکر اس پرائیویسی پالیسی کے کسی بھی حصے کو کسی بھی وقت تبدیل کرنے ، ترمیم کرنے ، شامل کرنے یا ہٹانے کا غیر مشروط حق محفوظ رکھتا ہے ،آپ کو ایسی تبدیلیوں کے بارے میں خاص طور پر مطلع کیے بغیر ۔کوئی بھی تبدیلی یا اپ ڈیٹ فوری طور پر مؤثر ہو جائے گا ۔تبدیلیوں کے لیے آپ کو اس پرائیویسی پالیسی کا باقاعدگی سے جائزہ لینا چاہیے ۔ہم اس پرائیویسی پالیسی میں کسی بھی مادی تبدیلیوں جیسے کہ سسٹم پر نوٹس کے ذریعے تمام صارفین کو عام طور پر مطلع کرنے کے لیے تجارتی لحاظ سے معقول کوششیں استعمال کریں گے ۔تاہم ، سسٹم کے صارف کے طور پر ، آپ کو کسی بھی تبدیلی کے لیے پرائیویسی پالیسی کو باقاعدگی سے چیک کرنا چاہیے ۔ہم اس رازداری کی پالیسی کے اوپری حصے میں آخری تازہ کاری کی تاریخ کو بھی اپ ڈیٹ کریں گے ،جو اس رازداری کی پالیسی کی مؤثر تاریخ کی عکاسی کرتی ہے ۔نئی پرائیویسی پالیسی کی تاریخ کے بعد سسٹم تک آپ کی مسلسل رسائی یا استعمال آپ کی نئی پرائیویسی پالیسی کی قبولیت کو تشکیل دیتا ہے ۔اگر آپ نئی رازداری کی پالیسی سے متفق نہیں ہیں ،تو آپ کو سسٹم تک رسائی اور / یا استعمال کرنا بند کر دینا چاہیے ۔آپ اس کے ذریعے تسلیم کرتے ہیں کہ آپ کی معلومات کا کوئی بھی ذخیرہ ، ذخیرہ ، پروسیسنگ یا دیگر استعمال پرائیویسی پالیسی کے تحت ہوگا جیسا کہ اس طرح کے جمع کرنے ، ذخیرہ کرنے ، پروسیسنگ یا دیگر استعمال کے وقت لاگو ہوتا ہے ۔
JOYNAGAR-II ICDS PROJECT,جوائے نگر - II آئی سی ڈی ایس پروجیکٹ
What is the eligibility of a beneficiary?,فائدہ اٹھانے والے کی اہلیت کیا ہے
Stunting and Underweight Growth Parameters,سٹنٹنگ اور کم وزن میں اضافے کے پیرامیٹرز
NALHATI-I ICDS PROJECT (NGO),نل ہٹی - I آئی سی ڈی ایس پروجیکٹ ( این جی او )
Contact health centre for Child,بچے کے لیے مرکز صحت سے رابطہ کریں ۔
Enter Height in centimeter,سینٹی میٹر میں اونچائی درج کریں ۔
Joynagar - I,جوائے نگار - I
CDPO OFFICE BATHINDA,سی ڈی پی او آفس بھٹنڈہ
Severely Wasted (SAM),شدید ضائع ( SAM)
"No, Poshan Tracker is available only for Android version",جی نہیں ، پوشن ٹریکر صرف اینڈروائیڈ کے ورژن میں ہی دستیاب ہے
Harishchandrapur - I,ہریش چندر پور - I
 XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. معاوضہ اور ذمہ داری کی حد
2.1. Deliver our services.,2.1. ہماری خدمات فراہم کریں ۔
Growth monitoring report for all health indicators,صحت کے تمام اشاریوں کے لیے گروتھ مانیٹرنگ رپورٹ
Take Home Ration (THR) given in last 30 days,گذشتہ 30 دنوں میں دیئے گئے ہوم راشن ( THR) لیں
Please select District,براہ کرم ضلع منتخب کریں ۔
District’s Quarterly Performance,ضلع کی سہ ماہی کارکردگی
3.1. Tracking health progress.,3.1. صحت کی پیشرفت کا سراغ لگانا ۔
Raghunathpur - II,رگھوناتھ پور - II
Kultali ICDS Project,کلتالی آئی سی ڈی ایس پروجیکٹ
CDPO Worli Kandivali Urban,ورلی کنڈیولی اربن سی ڈی پی او
Please enter Name,براہ کرم نام درج کریں ۔
Balurghat Rural Ad,بالور گھاٹ رورل اڈیشنل
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,بچوں کو اسٹنٹڈ کے طور پر بیان کیا جاتا ہے اگر ان کی عمر کے لحاظ سے قد WHO چائلڈ گروتھ اسٹینڈرڈ میڈین سے دو معیاری انحراف سے زیادہ ہے ۔
South 24 Parganas,جنوبی 24 پرگناس
Deoghar Cum Jasidih,دیو گھ مع جسیڈیہ
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker.Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.",مجاز ادارے کسی بھی ڈیٹا کو دوبارہ تقسیم نہیں کریں گے جس تک وہ API کے ذریعے کوڈ ویب پیج انٹیگریشن کے بغیر رسائی حاصل کرنے کے قابل ہوں اور اس بات کو یقینی بنائیں گے کہ اس طرح کے تمام ڈیٹا کا انضمام لازمی طور پر پوشن ٹریکر کے ذریعے فراہم کردہ مخصوص خدمات تک محدود رہے گا ۔کسی بھی حالت میں ، کیا کوئی تنظیم حکومت کے پوشن ابھیان کے حصے کے طور پر جمع کیے گئے ڈیٹا کو یہاں بیان کردہ مقاصد کے علاوہ کسی اور مقصد کے لیے استعمال نہیں کرے گی ،اور جیسا کہ حکومت کی طرف سے اجازت دی گئی ہے ۔
Helping make India malnutrition free,2022 تک ہندوستان کو غذائی قلت سے پاک کرنے کی مہم میں مدد فراہم کرنا
General Awareness on Module,ماڈیول پر عمومی آگاہی
What is the purpose of Launching Poshan Tracker?,پوشن ٹریکر کی ابتدا کا مقصد کیا ہے
"As a registered user, you have the right to access your profile at any time.Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.You cannot manage the communications that you receive from us or how you receive them.",ایک رجسٹرڈ صارف کے طور پر ، آپ کو کسی بھی وقت اپنے پروفائل تک رسائی کا حق حاصل ہے ۔اگرچہ ، تبدیلیاں صرف اسی طرح کی جا سکتی ہیںجیسا کہ وقتا فوقتا پوشن ٹریکر سسٹم کے ذریعہ تجویز کیا گیا ہے ۔آپ ان مواصلات کا نظم نہیں کر سکتے جو آپ کو ہم سے موصول ہوتی ہیں یا آپ انہیں کیسے وصول کرتے ہیں ۔
View All FAQs,تمام اکثر پوچھے گئے سوالات دیکھیں
Please Select Sector,برائے مہربانی سیکٹر منتخب کریں
Bankura - II,بانکورا - II
Raipur-  Karchulian,رائے پور کرچھولیاں
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE",XIII. قانون ، فریق ثالث کے حقوق ، اور سروس کی دیگر شرائط کے ساتھ تعمیل
"repeated infection, and inadequate psychosocial stimulation",بار بار انفیکشن اور ناکافی نفسیاتی محرک
Oops!Page Not Found,افوہ ! صفحہ نہیں ملا
Beneficiary migration from one AWC to another AWC,فائدہ اٹھانے والوں کی ایک AWC سے دوسری AWC میں منتقلی
Gyalshing Rural Project,گیالشنگ رورل پروجیکٹ
ABHA (Health ID),ABHA ( صحت کا شناختی کارڈ )
Lohian khas,لوھیاں خاص
Durg ( R ),درگ رورل
Bagnan - II,بگنان - II
Lawngtlai ICDS Project,لانگ تلئی آئی سی ڈی ایس پروجیکٹ
Date of Birth,پیدائش کی تاریخ
Nihal Singh Wala,نہال سنگھ والا
CDPO  Yavatmal-(U),یوت مل اربن سی ڈی پی او
DUM DUM SOUTH,ڈم ڈم ساؤتھ
4:15 PM to 5:15 PM,شام 4:15 سے شام 5:15 تک
Sagar - U,ساگر اربن
About Poshan Tracker,پوشن ٹریکر کے بارے میں
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)",ICT پلیٹ فارم پر تربیت پوشن ابھیان کے تحت (02 فروری 2021)
Panskura- II ADDL ICDS,پنسکورا - II اڈیشنل آئی سی ڈی ایس
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,پوشن ٹریکر ٹیم سے support- poshantrackr@ gov. in پر ای میل رروانہ کرکے رابطہ کیا جاسکتا ہے ۔ہینڈ ہولڈنگ اور معاونت کے لئے ہم روازانہ شام 3 بجے سے شام 5 بجے تک ویڈیو کانفرنس پر بھی دستیاب ہوتے ہیں ۔
Diyung Valley Icds Project,ڈیونگ ویلی آئی سی ڈی ایس پروجیکٹ
Registration of Child 3 years to 6 years,تین سال سے چھ سال تک کے بچے کی رجسٹریشن
South West Delhi,جنوب مغربی دہلی
"I do not have the measuring device, whom to contact in order to measure the height & weight of the child?",میرے پاس پیمائش کرنے والا آلہ نہیں ہے ،اپنے بچے کے قد اور وزن کی پیمائش کے لیے کس سے رابطہ کروں ؟
"You may browse the Site without registering for an account.You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.Your account or mobile number shall not include the name of another person with the intent to impersonate that person.You shall not use another user's account without their permission.You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",آپ اکاؤنٹ کے لیے رجسٹر کیے بغیر سائٹ کو براؤز کر سکتے ہیں ۔اگر آپ سائٹ کی طرف سے پیش کردہ کچھ خصوصیات یا خدمات کو استعمال کرنے کا ارادہ رکھتے ہیں تو آپ کو اپنے موبائل نمبر کے ساتھ اکاؤنٹ کے لیے رجسٹر کرنے کی ضرورت ہوگی ۔ان شرائط کو قبول کر کے ، آپ واضح طور پر ہمیں اپنی شناخت کی معلومات ( بشمول آدھار کی تفصیلات ) اور آپ کے اکاؤنٹ میں رجسٹرڈ دیگر تمام ممبران کے استعمال کی اجازت دینے سے اتفاق کرتے ہیں ۔آپ اپنی ذاتی معلومات اور رجسٹریشن اور ان تمام سرگرمیوں کی رازداری کو برقرار رکھنے کے مکمل طور پر ذمہ دار ہیں جن کے نتیجے میں آپ اس معلومات کو محفوظ رکھنے میں ناکام ہو سکتے ہیں ۔آپ کا رجسٹریشن یا موبائل نمبر خفیہ رکھا جائے گا ۔آپ نے یہ فرض کیا : آپ نے اپنے اکاؤنٹ کے ذریعے اپنے ریکارڈ بنانے کے لیے متعلقہ افراد سے رضامندی حاصل کی ہے ۔آپ کے اکاؤنٹ یا موبائل نمبر میں کسی دوسرے شخص کا نام شامل نہیں ہونا چاہیے جو اس شخص کی نقالی کرنے کے ارادے سے ہو ۔آپ کسی دوسرے صارف کا اکاؤنٹ ان کی اجازت کے بغیر استعمال نہیں کریں گے ۔آپ ہمیں فوری طور پر تحریری طور پر مطلع کریں گے ،اگر آپ کو اپنے اکاؤنٹ کا کوئی غیر مجاز استعمال یا اکاؤنٹ سے متعلق سیکیورٹی کی خلاف ورزی کا پتہ چلتا ہے ۔اگر ہمیں شکایت موصول ہوتی ہے کہ آپ کا اکاؤنٹ کسی اور کے حقوق کی خلاف ورزی کرتا ہے ،یا ہماری پالیسیوں کی خلاف ورزی کرتا ہے تو ہم آپ کے اکاؤنٹ کو منسوخ یا بلاک کر سکتے ہیں ۔آپ متعدد انٹرنیٹ پروٹوکول ایڈریس یا موبائل نمبر ، یا کسی اور ذریعہ سے ، سائٹ پر شرکاء کو رجسٹر کرنے کے لیے اپنی شناخت چھپانے کی کوشش نہیں کریں گے ۔
What is  MPIN?,MPIN. کیا ہے
Rongmongwe & Samelangso Icds Project,رونگمونگوے اور سیملانگسو آئی سی ڈی ای پروجیکٹ
Pakabetbari Icds Project,پکا بیت باڑی آئی سی ڈی ایس پروجیکٹ
Please Select Reported By,براہ کرم رپورٹ شدہ کو منتخب کریں
Kaliachak - III,کلیا چال - III
Dakshin Bastar Dantewada,جنوبی بستردانتے واڑا
Cdpo Proj No-1,سی ڈی پی او پروجیکٹ نمبر 1
When is the Swastha Balak Balika Spardha happening?,صحت مند لڑکوں کی لڑکیوں کا مقابلہ کب منعقد ہو رہا ہے
Berhampur (U) - II,برہام پور اربن II
Enter Mobile Number,موبائل نمبر درج کریں ۔
"Project-3, Palanganatham, Madurai",پالنگا ناتھم ، مدورئی ، پروجیکٹ 3
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,پوشن ٹریکر اپلیکیشن بارہ (22 ) مختلف زبانوں میں دستیاب ہےمختلف زبانوں میں دستیاب ہےانگریزیہندیگجراتیپنجابیمراٹھیبنگلہکنڑتملتیلگوملیالماڑیہاسامی NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
Registration of Lactating Mother,دودھ پلانے والی ماں کی رجسٹریشن
AWC Vaccination Trends,اے ڈبلیو سی ٹیکے کے رجحانات
Jhalda - I,جھلڈا - I
Reiek ICDS Project,رائیک آئی سی ڈی ایس پروجیکٹ
Registration of Pregnant Woman,حاملہ عورت کی رجسٹریشن
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.",پوشن ٹریکر ایپلی کیشن کا مقصد آنگن واڑی عاملین ( AWWs) کی خدمت کی فراہمی اور آنگن واڑی عاملین ( AWWs) کی خدمات کی فراہمی اور حاملہ خواتین کو دودھ پلانے والی ماؤں اور بچوں کے لئے مکمل فائدہ اٹھانے والے انتظامیہ کی سرگرمیوں کا 360 ڈگری نقطہ نظر فراہم کرنا ہے ۔
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",مجوزہ نظام کو مقررہ اشارے پر تمام AWCs AWWs اور مستفید افراد کی اصل وقت کی نگرانی اور ان سے باخبر رہنے کے قابل بنانا چاہئے ۔
Current Month Performance,موجودہ مہینے کی کارکردگی
Rjn Gramin 02,راج نند 02 گاؤں گرامین
How to Login in Poshan Tracker App?,پوشن ٹریکر اپلی کیشن پر کس طرح لاگ ان کریں ؟
Height and weight of child has not been measured,بچے کے قد اور وزن کی پیمائش نہیں کی گئی ہے
PM’s Program Districts,وزیراعظم کے پروگرام کے اضلاع
Kaliachak - I,کلیا چاک - I
Jagatballav pur ICDS,جگت بلبھ پور آئی سی ی ایس
CDPO Civil Washim,سویل واشم سی ڈی پی او
Terms of Service,سروس کی شرائط
How to Login on Swastha Balak Balika Spardha through Application?,درخواست کے ذریعے صحت مند لڑکا لڑکی کے مقابلے میں لاگ ان کیسے کریں ؟
2.5. Research and operational activities.,2.5. تحقیق اور آپریشنل سرگرمیاں ۔
Tufanganj I Addl,طوفان گنج I اڈیشنل
CANNING II ADDITIONAL,کیننگ - II اڈیشنل
Jhalda - II,جھلدا - II
Gomariguri Icds Project,گومری گوری آئی سی ڈی ایس پروجیکٹ
Best performing states (National Best),بہترین کارکردگی دکھانے والی ریاستیں ( قومی بہترین )
Siddharth Nagar City,سدھارتھ نگر سٹی
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO چائلڈ گروتھ اسٹینڈرڈز کی بنیاد پر بچوں کی نشوونما کی پیمائش کرنے کے لیے کیلکولیٹر ۔
Sonarpur ICDS Project,شونار پور آئی سی ڈی ایس پروجیکٹ
All rights reserved,جملہ حقوق محفوظ ہیں
"Td1, 2 or Td Booster***",Td1 ، 2 یا Td بوسٹر ***
North East Delhi,شمال مشرقی دہلی
Sri Muktsar Sahib,سری مکتار صاحب
North West Jorhat,جور ہاٹ نارتھ ویسٹ
Raninagar - II,رانی نگر - II
TAKE HOME RATION (THR) GIVEN TODAY,آج دی گئی ہوم راشن ( THR) لیں
Beneficiaries Registered Today,صارفین آج رجسٹرڈ ہیں
A beneficiary is eligible for THR for at least 21 days in a month.,ایک فائدہ اٹھانے والا ایک مہینے میں کم از کم اکیس دن کے لئے ٹی ایچ آر کا اہل ہے ۔
Bhatpara II (U),بھاٹ پاڑا - II ( اربن )
Cooch Behar II Addl,کوچ بہار II اڈیشنل
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. شرائط میں مستقبل کی تبدیلیوں سے متعلق نوٹس :
Planning And Organising Community Based Events At AWC,AWC میں کمیونٹی کی بنیاد پر تقریبات کی منصوبہ بندی اور انعقاد
 VII. INTELLECTUAL PROPERTY RIGHTS,VII. دانشورانہ املاک کے حقوق
GOSABA ICDS MAIN,گوسابہ آئی سی ڈی ایس مین
Growth monitoring charts,نمو کی نگرانی کے چارٹس
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,لاگ ان کرنے کے لیے براہ کرم ان مراحل پر عمل کریں ۔
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,مرحلہ نمبر 1- نیوٹریشن ٹریکر ویب سائٹ پر کلک کریں https:// poshantracker. in مرحلہ 2- اپنا رجسٹرڈ موبائل نمبر درج کریں اور 4 ہندسوں کا MPIN پہلے سے سیٹ کریں ۔
Step 3- Click on Login,مرحلہ 3- لاگ ان پر کلک کریں ۔
Dankhora - Hasanganj,ڈنکھورا - حسن گنج
Frequently Asked Questions,اکثر پوچھے گئے سوالات
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWWS اپلیکیشن کو کیسے سائن اپ کریں اگر یہ موبائل نمبر کے ذریعہ رجسٹر نہ ہو تا ہو ؟
Salboni ICDS Project,سلبونی آئی سی ڈی ایس پروجیکٹ
Raninagar - I,رام نگر - I
Sandeshkali - I Adl.,سندیش کھلی - I اڈیشنل
Poshan Tracker adds new Reports feature,پوشن ٹریکر نے رپورٹس کا نیا فیچر شامل کیا ۔
Take Home Ration not received,گھر لے جائیں راشن موصول نہیں ہوا ۔
Magrahat - II ICDS,مگراہات - II آئی سی ڈی ایس
Lungsen Icds Project,لونسین ائی سی ڈی ایس پروجیکٹ
General Awareness about preventing illness in Children,بچوں میں بیماری سے بچاؤ کے بارے میں عمومی آگاہی
Demow Icds Project,ڈیمو آئی سی ڈی ایس پروجیکٹ
Ratua - I,رٹوا - I
Purulia - II,پرولیا - II
Dhar - R,دھار رورل
Beneficiaries status change notifications,فائدہ اٹھانے والوں کی حیثیت میں تبدیلی کی اطلاعات
K R Nagar,کے ۔آر ۔
2. HOW WE USE PERSONAL INFORMATION,2. ہم ذاتی معلومات کو کس طرح استعمال کرتے ہیں ۔
Purnia East Rural,پورنیا ایسٹ رورل
Ranaghat 2 Ex,رانا گھاٹ 2- ایکس
Careers At Poshan Tracker,پوشن ٹریکر میں روزگار کے مواقع
Nichar At Bhabnagar,نیچھر ایت بھاب نگر
Underweight Assessment Parameters,کم وزن کی تشخیص کے پیرامیٹرز
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","Welcome! The following are the Terms of Service ("" Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https:// poshantracker. in, and all associated sites linked to it, its subsidiaries, and affiliates ( collectively, the "" Site"")."
Please provide your mobile number and a ticket number.,براہ کرم اپنا موبائل نمبر اور ٹکٹ نمبر فراہم کریں ۔
Kulti (U) ICDS Project,کلٹی ( یو ) آئی سی ڈی ایس پروجیکٹ
Ludhiana 1 Rural,لدھیانہ - 1 رورل
Dinhata - II addl,دں ہٹہ - II اڈیشنل
Please contact your respective Anganwadi worker.,براہ کرم اپنی متعلقہ آنگن واڑی ورکر سے رابطہ کریں ۔
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 سال سے کم عمر کے بچے جنہوں نے سپلیمنٹری نیوٹریشن حاصل کی ۔
Feeding During Illness,بیماری کے دوران کھانا کھلانا
Ratlam Rural - 2,رتلام رورل 2
Suti - I,سوتی - I
Memari - II,میماری - II
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1 پینٹا ویلنٹ -1 روٹا وائرس ویکسین ( RVV)-1 غیر فعال پولیو ویکسین ( fIPV)-1 کی جزوی خوراکنیوموکوکل کنجوگیٹ ویکسین ( PCV) -1
How to contact Poshan Tracker Team?,پوشان ٹریکر ٹیم سے کیسے رابطہ کریں ؟
Rongli Rural Project,رونگلی رورل پروجیکٹ
Take Home Ration (THR) Given Today,آج دی گئی ہوم راشن ( THR) لیں
The pre-requisites for participating in this campaign are:The age of the child who is participating in this campaign should be 0-6 years.An active mobile numberHeight and Weight measuring device (For Self),اس مہم میں حصہ لینے کی شرائط یہ ہیں: اس مہم میں حصہ لینے والے بچے کی عمر 0-6 سال ہونی چاہیے ۔ایک فعال موبائل نمبراونچائی اور وزن کی پیمائش کرنے والا آلہ ( خود کے لیے )
How many different forms are there in Poshan Tracker App?,پوشن ٹریکر اپلیکیشن پر مختلف کتنی قسم کے فارم دستیاب ہیں
Ldh Urban 1,لدھیانا أربن - 1
There are 7 different types of forms for beneficiaries.,پوشن ٹریکر اپلیکیشن پر مختلف 7 قسم کے فارم دستیاب ہیں ۔
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),دودھ پلانے والی مائیںحاملہ خواتینبچے 0-6 ماہبچے 6 ماہ سے 3 سالبچے 3 سال سے 6 سالنوعمر دوشیزہ (11 سال -19 سال
Shibpur I C D S Project,شب پور آئی سی ڈی ایس پرویکٹ
Hot Cooked Meal (HCM) given today,گرم پکا ہوا کھانا ( ایچ سی ایم ) آج دیا گیا
RAMPURHAT-II ICDS PROJECT,رام پور ہاٹ - II آئی سی ڈی ایس پروجیکٹ
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",حالیہ ایک یا تین مہینوں میں ، مستفید کے گھر کا کسی بھی آنگن واڑی کارکن نے دورہ نہیں کیا ہے
Please enter Weight greater than 0.49 and less than 40.01,براہ کرم 0.49 سے زیادہ اور 40.01 سے کم وزن درج کریں ۔
You can register with your mobile number directly through the website https://poshantracker.in or by downloading the Poshan Tracker App.,آپ ویب سائٹ https:// poshantracker. in پر اپنے موبائل نمبر سے براہ راست رجسٹر کرسکتے ہیں یا پوشن ٹریکر ایپ ڈاؤن لوڈ کرکے ۔
Seraj At Janjehli,سیرج ایٹ جنجہلی
Amta - II,أمتا - II
 V. ACCESS PERMISSIONS,V. رسائی کی اجازت
Please select Anganwadi Center,برائے مہربانی آنگن واڑی سنٹر کو منتخب کریں ۔
Children between 0-6 months,0-6 ماہ کے درمیان بچے
Gautam Buddha Nagar,گوتم بدھ نگر
Mangan Tribal Project,منگن ٹرئیبل پروجیکٹ
New Amravati Urban,نیو أمراؤتی اربن
