eng,kn
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","ಪೋಶನ್ ಅಭಿಯಾನವು ತಂತ್ರಜ್ಞಾನ, ಉದ್ದೇಶಿತ ವಿಧಾನ ಮತ್ತು ಒಮ್ಮುಖದ ಮೂಲಕ ಮಕ್ಕಳು, ಹದಿಹರೆಯದವರು, ಗರ್ಭಿಣಿಯರು ಮತ್ತು ಹಾಲುಣಿಸುವ ತಾಯಂದಿರಿಗೆ ಪೌಷ್ಟಿಕಾಂಶದ ಫಲಿತಾಂಶಗಳನ್ನು ಸುಧಾರಿಸಲು ಭಾರತದ ಪ್ರಮುಖ ಕಾರ್ಯಕ್ರಮವಾಗಿದೆ.ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಪೋರ್ಟಲ್ ಅಥವಾ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಭಾರತ ಸರ್ಕಾರದ ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯವು ನಿರ್ವಹಿಸುತ್ತದೆ, ಇನ್ನು ಮುಂದೆ ಇತರ ಇಲಾಖೆಗಳು ಮತ್ತು ವಿಭಾಗಗಳ ಉಲ್ಲೇಖಗಳನ್ನು ಒಳಗೊಂಡಂತೆ ""MWCD"", ""ನಮ್ಮ"", ""ನಾವು"", ""ನಾವು"" ಎಂದು ಉಲ್ಲೇಖಿಸಲಾಗುತ್ತದೆ. ಕಾರ್ಯಕ್ರಮ/ಪ್ರಚಾರ. ಈ ನೀತಿಯು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಪೋರ್ಟಲ್ ಅಥವಾ ಆ್ಯಪ್ ಟು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅಥವಾ ಇನ್ನಾವುದೇ ಆಪ್ ಅಥವಾ ಪೋರ್ಟಲ್ ಅನ್ನು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ನೊಂದಿಗೆ ಸಂಯೋಜಿತವಾಗಿರುವ API/ಸಂಬಂಧಿತ ಸೈಟ್ಗಳು, ಅಪ್ಲಿಕೇಶನ್ಗಳು, ಸಂವಹನಗಳು ಮತ್ತು ಸೇವೆಗಳ ಮೂಲಕ (""ಸೇವೆಗಳು"") ಉಲ್ಲೇಖಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ.""ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಥವಾ ಸಿಸ್ಟಮ್"" ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ.ನೀವು ನಮ್ಮ ಸೇವೆಗಳನ್ನು ಬಳಸುವಾಗ ನಮ್ಮ ಗೌಪ್ಯತಾ ನೀತಿ ಅನ್ವಯಿತರಾಗುತ್ತೀರಿ (ಕೆಳಗೆ ವಿವರಿಸಲಾಗಿದೆ).ನಾವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸುತ್ತೇವೆ, ಅದನ್ನು ಏಕೆ ಸಂಗ್ರಹಿಸುತ್ತೇವೆ ಮತ್ತು ಅದನ್ನು ಹೇಗೆ ಬಳಸುತ್ತೇವೆ ಮತ್ತು ಹಂಚಿಕೊಳ್ಳುತ್ತೇವೆ ಎಂಬುದನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.MWCD ಸಂಸ್ಥೆಯು ಅದಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ ಮತ್ತು ನಿರ್ವಹಿಸುತ್ತದೆ.ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ರಕ್ಷಿಸಲು ಮತ್ತು ನಿಮ್ಮ ಗೌಪ್ಯತೆಯನ್ನು ರಕ್ಷಿಸಲು ನಾವು ಬದ್ಧರಾಗಿದ್ದೇವೆ.ಸಿಸ್ಟಂನಲ್ಲಿ ಸಂಗ್ರಹಿಸಿದ ಮತ್ತು ಸಂಸ್ಕರಿಸಿದ ಯಾವುದೇ ಮಾಹಿತಿ ಅಥವಾ ಡೇಟಾವನ್ನು ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನ ಕಾಯಿದೆ, 2000 ಮತ್ತು ಅದರ ನಿಯಮಗಳು ಮತ್ತು ವೈಯಕ್ತಿಕ ಡೇಟಾದ ಸಂಗ್ರಹಣೆ ಮತ್ತು ಪ್ರಕ್ರಿಯೆಗೆ ಸಂಬಂಧಿಸಿದ ಇತರ ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ರಾಜ್ಯ ಕಾನೂನುಗಳ ನಿಬಂಧನೆಗಳಿಗೆ ಅನುಗುಣವಾಗಿ ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ.ಈ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು https://poshantracker.in ನಲ್ಲಿ ಲಭ್ಯವಿರುವ ಸೇವಾ ನಿಯಮಗಳ ಜೊತೆಯಲ್ಲಿ ಓದುವ ಅಗತ್ಯವಿದೆ.ಈ ಗೌಪ್ಯತೆ ನೀತಿ ಮತ್ತು ಸೇವಾ ನಿಯಮಗಳ ನಿಮ್ಮ ಅಂಗೀಕಾರದ ಮೇಲೆ ನಿಮ್ಮ ಪ್ರವೇಶ ಮತ್ತು ಸಿಸ್ಟಂನ ಬಳಕೆಯು ಷರತ್ತುಬದ್ಧವಾಗಿದೆ.ಸಿಸ್ಟಂ ಅನ್ನು ಪ್ರವೇಶಿಸುವ ಮತ್ತು/ಅಥವಾ ಬಳಸುವ ಮೂಲಕ, ನೀವು ಸೇವೆಯ ನಿಯಮಗಳು ಮತ್ತು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು ಓದಿದ್ದೀರಿ, ಅರ್ಥಮಾಡಿಕೊಂಡಿದ್ದೀರಿ ಮತ್ತು ಬದ್ಧರಾಗಿರುವಿರಿ ಎಂದು ನೀವು ಪ್ರತಿನಿಧಿಸುತ್ತೀರಿ ಮತ್ತು ಒಪ್ಪಿಗೆಯನ್ನು ಸೂಚಿಸಿದ ರೀತಿಯಲ್ಲಿ ನಿಮ್ಮ ಮಾಹಿತಿ ಮತ್ತು ಡೇಟಾವನ್ನು ನೀವು ಸಂಗ್ರಹಿಸುತ್ತೀರಿ, ಸಂಗ್ರಹಿಸುತ್ತೀರಿ ಮತ್ತು ಬಳಸುತ್ತೀರಿ.ಈ ಗೌಪ್ಯತೆ ನೀತಿಯ ವಿಭಾಗ 1 ರಲ್ಲಿ ವಿವರಿಸಲಾದ ನಿಮ್ಮ ಮಾಹಿತಿಯ ಸಂಗ್ರಹವು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯ ವಿಭಾಗಗಳು 2 ಮತ್ತು 3 ರಲ್ಲಿ ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ ಉದ್ದೇಶಗಳನ್ನು ಪೂರೈಸಲು ಅವಶ್ಯಕವಾಗಿದೆ ಎಂದು ನೀವು ಈ ಮೂಲಕ ಒಪ್ಪಿಕೊಳ್ಳುತ್ತೀರಿ."
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,ನೀವು ಕಡಿಮೆ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುಜ್ಜೀವನಗೊಳಿಸುವುದು
Can a beneficiary change his/her AWC?,ಒಬ್ಬ ಫಲಾನುಭವಿ ಅವನ/ಅವಳ AWC ಬದಲಾಯಿಸಬಹುದೇ?
Ensuring Exclusive Breastfeeding,ವಿಶೇಷ ಸ್ಥನಪಾನವನ್ನು ಖಾತರಿಪಡಿಸುವುದು
Koppal - Karnataka,ಕೊಪ್ಪಲ್ - ಕರ್ನಾಟಕ
Udaipur N/P Icds,ಉದಯಪುರ ಎನ್/ಪಿ ಐಸಿಡಿಎಸ್
North Garo Hills,ಉತ್ತರ ಗ್ಯಾರೋ ಹಿಲ್ಸ್
"We use the information we have, to help verify accounts.",ನಾವು ನಮ್ಮ ಬಳಿ ಇರುವ ಮಾಹಿತಿಯನ್ನು ಖಾತೆಗಳನ್ನು ಪರಿಶೀಲಿಸಲು ಬಳಸುತ್ತೇವೆ.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ನಿಯಂತ್ರಣ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆಯ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಲು ದಾಖಲೆಗಳನ್ನು ಬಳಸಬಹುದು.
Sant Kabir Nagar City,ಸಂತ ಕಬೀರ್ ನಗರ ನಗರ
Bhiwandi Nizampur Thane-[U],ಭಿವಂಡಿ ನಿಜಾಂಪುರ್ ಥಾಣೆ-[ಯು]
Diyungbra Icds Project.,ದಿಯುಂಗ್ಬ್ರ ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ.
Scan the QR Code to Download the App,ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ ಲೋಡ್ ಮಾಡಲು ಕ್ಯೂಆರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ
Who is eligible for Hot Cooked Meal?,ಬಿಸಿ ಊಟಕ್ಕೆ ಯಾರು ಅರ್ಹರು?
Kaliyaganj Additional ICDS Project,ಕಾಲಿಯಾಗಂಜ್ ಹೆಚ್ಚುವರಿ ಐಡಿಸಿಎಸ್ ಯೋಜನೆ
Burdwan - II,ಬುರ್ದ್ವಾನ್ - II
Chanchal - I,ಚಂಚಲ್ - I
Please Select Help Topic,ದಯವಿಟ್ಟು ಸಹಾಯ ವಿಷಯವನ್ನು ಆಯ್ಕೆಮಾಡಿ
JOYNAGAR-II Addl ICDS PROJECT,ಜೋಯ್ನಗರ-II ಹೆಚ್ಚುವರಿ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
N R Pura,ಎನ್ ಆರ್ ಪುರ
Kanpur Nagar City 2,ಕಾನ್ ಪುರ್ ನಗರ ಪಟ್ಟಣ 2
Identifying and preventing Severe Acute Malnutrition,ತೀವ್ರ ಅಪೌಷ್ಟಿಕತೆಯನ್ನು ಗುರುತಿಸುವುದು ಮತ್ತು ತಡೆಗಟ್ಟುವುದು
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ಪೌಷ್ಟಿಕಾಂಶದ ಕೊರತೆಯಿರುವ ಮಕ್ಕಳು ಹೆಚ್ಚುವರಿ ಆಹಾರ ಪಡೆಯಲು ಅರ್ಹರಾಗಿರುತ್ತಾರೆ.
Siaha ICDS Project,ಸಿಯಾಹ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Raina - II,ರೈನಾ - II
Who is eligible for additional supplementary food.,ಹೆಚ್ಚುವರಿ ಪೂರಕ ಆಹಾರಕ್ಕಾಗಿ ಯಾರು ಅರ್ಹರು.
Please Enter Name,ದಯವಿಟ್ಟು ಹೆಸರನ್ನು ನಮೂದಿಸಿ
Anganwadi Worker profile page,ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರ ಪ್ರೊಫೈಲ್ ಪುಟ
Budaun - Uttar Pradesh,ಬುಡಾನ್ - ಉತ್ತರ ಪ್ರದೇಶ
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ಅಂಗನವಾಡಿ ಸೇವೆಗಳ ಯೋಜನೆಗಳ ದತ್ತಾಂಶವನ್ನು ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ನಲ್ಲಿ ಅಪ್ ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ.(೨೪ ಮೇ, ೨೦೨೧)"
Back to careers,ವೃತ್ತಿಜೀವನಕ್ಕೆ ಹಿಂತಿರುಗಿ
Chungthang Tribal Project,ಚುಂಗ್ಥಾಂಗ್ ಬುಡಕಟ್ಟು ಯೋಜನೆ
Children (3 - 6 years),ಮಕ್ಕಳು (3-6 ವರ್ಷಗಳು)
What’s New on Poshan Tracker,ಫೋಷನ್ ಟ್ರಾಕರ್ ನಲ್ಲಿ ಹೊಸದ್ದು ಏನು ಇದೆ
Jashpur 2 Lodam,ಜಶ್ಪುರ್ 2 ಲೋಡಮ್
Children between 6 months - 3 years,೬ ತಿಂಗಳ -೩ ವರ್ಷದ ನಡುವೆ ಮಕ್ಕಳು
Jorethang Rural Project,ಜೋರೆಥಾಂಗ್ ಗ್ರಾಮೀಣ ಯೋಜನೆ
Prayagraj City 1,ಪ್ರಯಾಗರಾಜ್ ನಗರ 1
KOTBHAI AT GIDDERBAHA,ಕೋಟ್ಭಾಯ್ ಗಿದ್ದೆರ್ಬಾಹಾ
1.3. Information from third parties.,1.3. ಥರ್ಡ್-ಪಾರ್ಟಿ ಗಳಿಂದ ಮಾಹಿತಿ.
Preventing anemia in women,ಹೆಂಗಸರಲ್ಲಿ ರಕ್ತಹೀನತೆಯನ್ನು ನಿಯಂತ್ರಿಸುವುದು
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯ, ಭಾರತ ಸರ್ಕಾರ, ಶಾಸ್ತ್ರಿ ಭವನ, ನವದೆಹಲಿ"
Care of the weak newborn baby - How many weak babies are we missing?,ದುರ್ಬಲ ನವಜಾತ ಶಿಶುವಿನ ಆರೈಕೆ - ನಾವು ಎಷ್ಟು ದರ್ಬಲ ಮಕ್ಕಳನ್ನು ಕಳೆದುಕೊಳ್ಳುತ್ತಿದ್ದೇವೆ?
7. CHANGES TO PRIVACY POLICY,7. ಗೌಪ್ಯತೆ ನೀತಿಗೆ ಬದಲಾವಣೆಗಳು
Underweight children who received Supplementary Nutrition,ಪೂರಕ ಆಹಾರವನ್ನು ಪಡೆದಿರುವ ಕಡಿಮೆ ತೂಕದ ಮಕ್ಕಳು
Beneficiary deletion by AWW,ಎಡಬ್ಲ್ಯೂಡಬ್ಲ್ಯೂ ಮೂಲಕ ಫಲಾನುಭವಿ ಅಳಿಸುವಿಕೆ
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.","ಯಾವುದೇ ಮತ್ತು ಎಲ್ಲಾ ಹಕ್ಕುಗಳು, ಹಾನಿಗಳು, ಹೊಣೆಗಾರಿಕೆಗಳು, ನಷ್ಟಗಳು, ಹೊಣೆಗಾರಿಕೆಗಳು, ವೆಚ್ಚಗಳು ಅಥವಾ ಋಣಭಾರಗಳು ಮತ್ತು ವೆಚ್ಚಗಳು ಸೇರಿದಂತೆ, ಆದರೆ ಇವುಗಳಿಗೆ ಸೀಮಿತವಾಗಿರದೆ, ಹಾನಿಕಾರಕವಲ್ಲದ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಮತ್ತು ಅದರ ಅಂಗಸಂಸ್ಥೆಗಳು, ಅದರ ಅಧಿಕಾರಿಗಳು, ನಿರ್ದೇಶಕರು, ಉದ್ಯೋಗಿಗಳು ಮತ್ತು ಏಜೆಂಟರನ್ನು ನೀವು ರಕ್ಷಿಸುತ್ತೀರಿ, ನಷ್ಟ ಪರಿಹಾರ ನೀಡುತ್ತೀರಿ ಮತ್ತು ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುತ್ತೀರಿ.ಮತ್ತು ಹಿಡಿದಿಡಲು ಒಪ್ಪಿಕೊಳ್ಳಿ.ಯಾವುದೇ ಆರೋಪ ಅಥವಾ ಥರ್ಡ್ ಪಾರ್ಟಿ ವ್ಯಕ್ತಿಗಳ ಕಾನೂನು ಪ್ರಕ್ರಿಯೆಗೆ ಸಂಬಂಧಿಸಿದ ವಕೀಲರ ಶುಲ್ಕಗಳು ಇದರಿಂದ ಉಂಟಾಗುವಃಸೈಟ್ ಮತ್ತು ಸೇವೆಗೆ ನಿಮ್ಮ ಬಳಕೆ ಮತ್ತು ಪ್ರವೇಶ;ನಿಮ್ಮ ಕಡೆಯಿಂದ ಈ ಒಪ್ಪಂದದ ಯಾವುದೇ ನಿಯಮಗಳ ಉಲ್ಲಂಘನೆ;ಯಾವುದೇ ಹಕ್ಕುಸ್ವಾಮ್ಯ, ಆಸ್ತಿ, ಅಥವಾ ಗೌಪ್ಯತೆ ಹಕ್ಕು ಸೇರಿದಂತೆ, ಮಿತಿಯಿಲ್ಲದೆ ಯಾವುದೇ ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕಿನ ನಿಮ್ಮ ಉಲ್ಲಂಘನೆ; ಅಥವಾನಿಮ್ಮ ಬಳಕೆದಾರರ ವಿಷಯವು ಥರ್ಡ್ ಪಾರ್ಟಿಗೆ ಹಾನಿಯನ್ನುಂಟುಮಾಡಿದೆ ಎಂಬ ಯಾವುದೇ ಹಕ್ಕು.ಈ ರಕ್ಷಣಾ ಮತ್ತು ನಷ್ಟ ಪರಿಹಾರದ ಬಾಧ್ಯತೆಯು ಈ ಒಪ್ಪಂದ ಮತ್ತು ಸೇವೆ ಮತ್ತು ವೆಬ್ಸೈಟ್/ಅಪ್ಲಿಕೇಶನ್ನ ನಿಮ್ಮ ಬಳಕೆಯನ್ನು ಉಳಿದುಕೊಳ್ಳುತ್ತದೆ."
SURI - II,ಸೂರಿ - II
ICDS (Tribal Project),ಐಸಿಡಿಎಸ್ (ಬುಡಕಟ್ಟು ಯೋಜನೆ)
Kakdwip Addl ICDS Project,ಕಾಕ್ದ್ವೀಪ ಹೆಚ್ಚುವರಿ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Ranir Bazar N/P,ರಾನೀರ್ ಬಜಾರ್ ಎನ್/ಪಿ
Children (0-6 months),ಮಕ್ಕಳು (0-6 ತಿಂಗಳು)
Identification and care of a Weak Newborn baby,ದುರ್ಬಲ ನವಜಾತ ಶಿಶುವಿನ ಗುರುತಿಸುವಿಕೆ ಮತ್ತು ಆರೈಕೆ
Harangajao Icds Project,ಹರಂಗಜಾವೋ ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ
Sivnee Rural -1,ಶಿವನೀ ಗ್ರಾಮಾಂತರ -1
Dera Baba Nanak,ಡೇರಾ ಬಾಬಾ ನಾನಕ್
1.2. Information from use of services.,1.2. ಸೇವೆಗಳ ಬಳಕೆಯಿಂದ ಬರುವ ಮಾಹಿತಿ.
Please contact your respective Anganwadi Centre.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಅಂಗನವಾಡಿ ಕೇಂದ್ರವನ್ನು ಸಂಪರ್ಕಿಸಿ.
Chanchal - II,ಚಂಚಲ್ - II
State Video Conference,ರಾಜ್ಯ ವಿಡಿಯೋ ಕಾನ್ಫರೆನ್ಸ್
Uttar Bastar Kanker,ಉತ್ತರ ಬಸ್ತರ್ ಕಾಂಕರ್
"Jatinga Valley Icds Project, Mahur","ಜತಿಂಗ ವ್ಯಾಲಿ ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ, ಮಹೂರ್"
Ratua - II,ರಟುವಾ - II
6m - 3y,೬ ತಿಂಗಳು - ೩ ವರ್ಷಗಳು
Kushi Nagar City,ಕುಶಿ ನಗರ ನಗರ
Take Home Ration,ಮನೆಗೆ ಆಹಾರವನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ
Raina - I,ರೈನಾ - I
Chandrakona - II,ಚಂದ್ರಕೋಣ - II
Mohgaon - T,ಮೊಹಗಾಂವ್ - ಟಿ
12 Digit Number,12 ಅಂಕೆ ಸಂಖ್ಯೆ
About Reference tables,ಉಲ್ಲೇಖ ಕೋಷ್ಟಕಗಳ ಬಗ್ಗೆ
GOBARDANGA I. C. D. S PROJECT(U),ಗೋಬರ್ದಂಗ ಐಸಿಡಿಎಸ್ ಪ್ರಾಜೆಕ್ಟ್(ಯು)
Please fill in the form below to create a new ticket.,ಹೊಸ ಟಿಕೆಟ್ ರಚಿಸಲು ಕೆಳಗಿನ ಫಾರ್ಮ್ ಅನ್ನು ಭರ್ತಿ ಮಾಡಿ.
Anganwadi Worker will reach out to you within 48 hours.,AWW 48 ಗಂಟೆಗಳ ಒಳಗೆ ನಿಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸುತ್ತಾರೆ.
Goregaon East (U),ಗೋರೆಗಾಂವ್ ಪೂರ್ವ (ಯು)
RISHRA-KONNAGAR(U) ICDS PROJECT,ರಿಶ್ರಾ-ಕೊನ್ನಗರ್(ಯು) ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Default language selection,ಡೀಫಾಲ್ಟ್ ಭಾಷೆಯ ಆಯ್ಕೆ
Your request is received.,ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಸ್ವೀಕರಿಸಲಾಗಿದೆ.
