eng,ne
Please enter Ticket Number,कृपया टिकेट नम्बर प्रविष्ट गर्नुहोस्
We believe in building doers.,हामी काम गर्नेको निर्माणमा विश्वास गर्छौं।
Poshan Tracker is a project of Ministry of Women and Child Development.,पोषण ट्र्याकर (Poshan Tracker) महिला तथा बाल विकास मन्त्रालयद्वारा आयोजना गरिएको हो ।
Digital India Corporation is the technical partner of MoWCD.,डिजिटल इन्डिया कर्पोरेशन एमओडब्ल्युसीडी (MoWCD) को प्राविधिक साझेदार हो।
Poshan Tracker focuses on eradication of malnutrition from India.,पोषण ट्र्याकर (Poshan Tracker) भारतबाट कुपोषण उन्मूलनको कार्यमा केन्द्रित छ।
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,यसले पोषण अभियान अन्तर्गत सेवा प्रवाहमा अनुगमन र सुधार गर्ने संयन्त्रको रूपमा काम गर्दछ
Turvihal - Kannatagi,तुर्विहल - कन्नतगी
Anganwadi Worker Training,आंगनवाडी कार्यकर्ताको प्रशिक्षण
St Thomas Mount,सेन्ट थोमस माउन्ट
Please Select Beneficiary Category,कृपया लाभार्थी कोटी चयन गर्नुहोस्
Purbasthali - II,पूर्वस्थली - II
