eng,bn
1.2. Information from use of services.,1.2. পরিষেবার ব্যবহার থেকে তথ্য।
Please contact your respective Anganwadi Centre.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওযাডি কেন্দ্রে যোগাযোগ করুন।
Chanchal - II,চাঁচোল - II
State Video Conference,রাজ্য ভিডিও কনফারেন্স
Uttar Bastar Kanker,উত্তর বাস্তর কাঁকর
"Jatinga Valley Icds Project, Mahur","জ্যাটিংযা ভ্যালি আইসিডিএস প্রকল্প, মাহুর"
Ratua - II,রাতুযা - II
6m - 3y,৬ মি -৩ এ
Kushi Nagar City,কুশি নগর সিটি
Take Home Ration,বাডিতে নিযে যাওযার জন্য রেশন
Raina - I,রাযনা - I
Chandrakona - II,চন্দ্রকোনা - II
Mohgaon - T,মোহগাঁও - টি
12 Digit Number,12 ডিজিট নম্বর
About Reference tables,রেফারেন্স টেবিল সম্পর্কে
GOBARDANGA I. C. D. S PROJECT(U),গোবরডাঙ্গা আইসিডিএস প্রকল্প (ইউ)
Please fill in the form below to create a new ticket.,একটি নতুন টিকিট তৈরি করতে নীচের ফর্মটি পূরণ করুন।
Anganwadi Worker will reach out to you within 48 hours.,অঙ্গনওযাডি কর্মীরা 48 ঘন্টার মধ্যে আপনার সাথে যোগাযোগ করবে।
Goregaon East (U),গোরগাঁও পূর্ব (ইউ)
RISHRA-KONNAGAR(U) ICDS PROJECT,রিষডা-কোন্নগর (ইউ) আইসিডিএস প্রকল্প
Default language selection,ডিফল্ট ভাষা নির্বাচন
Your request is received.,আপনার অনুরোধ গৃহীত হযেছে।
Please note down the ticket number for future reference.,ভবিষ্যতে রেফারেন্সের জন্য টিকিট নম্বর নিচে নোট করুন.
Please enter Ticket Number,টিকিট নম্বর লিখুন
We believe in building doers.,আমরা কার্যকর্তা গডে তোলায বিশ্বাস করি।
Poshan Tracker is a project of Ministry of Women and Child Development.,পোশান ট্র্যাকার হল মহিলা ও শিশু উন্নযন মন্ত্রকের একটি প্রকল্প।
Digital India Corporation is the technical partner of MoWCD.,ডিজিটাল ইন্ডিযা কর্পোরেশন MoWCD-এর প্রযুক্তিগত অংশীদার।
Poshan Tracker focuses on eradication of malnutrition from India.,পোশান ট্র্যাকার ভারত থেকে অপুষ্টি দূরীকরণের উপর দৃষ্টি নিবদ্ধ করে।
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,এটি পোশান অভিযানের অধীনে পরিষেবা সরবরাহের উপর নজরদারি এবং তার তাৎক্ষণিক উন্নযনের লক্ষ্যে একটি প্রক্রিযা হিসাবে কাজ করে
Turvihal - Kannatagi,তুরভিহাল - কান্নাটগী
Anganwadi Worker Training,অঙ্গনওযাডি কর্মীদের প্রশিক্ষণ
St Thomas Mount,সেন্ট টমাস মাউন্ট
Please Select Beneficiary Category,অনুগ্রহ করে সুবিধাভোগীদের শ্রেণী নির্বাচন করুন
Purbasthali - II,পূর্বস্থলী - II
