eng,as
Preventing anemia in women,মহিলাসকলৰ মাজত এনিমিযাত বাধা দিযা
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয, ভাৰত চৰকাৰ, শাস্ত্ৰী ভৱন,"
Care of the weak newborn baby - How many weak babies are we missing?,দূৰ্বল নৱজাতকৰ যত্ন - কিমান দূৰ্বল কেচুৱাক আমি হেৰুৱাই আহিছো?
7. CHANGES TO PRIVACY POLICY,7. গোপনীযতাৰ নীতিৰ সাল-সলনি
Underweight children who received Supplementary Nutrition,কম ওজনৰ শিশু যি পৰিপূৰক পুষ্টি লাভ কৰিছে
Beneficiary deletion by AWW,AWC ৰ দ্বাৰা বেনিফিচাৰী বিলোপ
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.","আপুনি পোষণ ট্ৰেকাৰ আৰু ইযাৰ শাখা সমূহ, ইযাৰ বিষযা সকল, সঞ্চালক, কৰ্মচাৰী আৰু এজেন্টক, যিকোনো আৰু সকলো ধৰণৰ অধিকাৰ দাবী, ক্ষতি, আইনগত বাধ্যবাধকতা, লোকচান, দাযবদ্ধতা, ব্যয বা ঋণ, আৰু খৰছৰ ৰক্ষা, ক্ষতি পূৰণ আৰু ক্ষতি নোহোৱাকৈ ধাৰণ কৰিবলৈ সন্মত হৈছে খি তলত দিযা সমূহৰ পৰা উদ্ভৱ হোৱা কোনো অভিযোগ বা তৃতীয পক্ষৰ আইনী কাৰ্যব্যৱস্তাৰে সম্পৰ্কিত এটৰ্ণী ফীজ অন্তৰ্ভুক্ত কিন্তু তাতেই সীমাৱদ্ধ নহযঃচাইটটো আৰু সেৱা সমূহৰ আপোনাৰ ব্যৱহাৰ আৰু প্ৰৱেশাধিকাৰ;এই চুক্তিৰ কোনো চৰ্তৰ আপুনি কৰা উলংঘন;কোনো সীমাৱদ্ধতা, কোনো কপিৰাইট, সম্পত্তি, বা গোপনীযতাৰ অধিকাৰ নথকাক অন্তৰ্ভুক্ত কৰি আপুনি কৰা যিকোনো তৃতীয পক্ষৰ অধিকাৰৰ উলংঘন; বাকোনো দাৱী যে আপোনাৰ ব্যৱহাৰকাৰীৰ কন্টেন্টে এটা তৃতীয পক্ষৰ ক্ষতি কৰিছে।"
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,এই প্ৰতিৰক্ষা আৰু ক্ষতিপূৰণৰ বাধ্যবাধকতাই এই চুক্তি আৰু সেৱা আৰু ৱেবচাইট/ এপৰ আপোনাৰ ব্যৱহাৰ অক্ষুন্ন ৰাখিব।
SURI - II,চুৰি - II
ICDS (Tribal Project),আইচিডিএছ (জনজাতীয প্ৰকল্প)
Kakdwip Addl ICDS Project,কাকদ্বীপ এড্ডল আইচিডিএছ প্ৰকল্প
Ranir Bazar N/P,ৰানিৰ বজাৰ এন/পি
Children (0-6 months),শিশু (0-6 মাহ)
Identification and care of a Weak Newborn baby,এগৰাকী দূৰ্বল নৱজাতকৰ চিনাক্তকৰণ আৰু যতন
Harangajao Icds Project,হাৰাংগাজাও আইচডিএছ প্ৰকল্প
Sivnee Rural -1,চিভনি গ্ৰাম্য -1
Dera Baba Nanak,ডেৰা বাবা নানক
1.2. Information from use of services.,1.2. সেৱা সমূহৰ ব্যৱহাৰৰ পৰা তথ্য।
Please contact your respective Anganwadi Centre.,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাডী কেন্দ্ৰত যোগাযোগ কৰক।
Chanchal - II,চঞ্চল - II
State Video Conference,ৰাজ্যিক ভিডিঅ' সন্মিলন
Uttar Bastar Kanker,উত্তৰ বাষ্টাৰ কংকাৰ
"Jatinga Valley Icds Project, Mahur","জাতিঙ্গা ভেলী আইচিডিএছ প্ৰকল্প, মাহুৰ"
Ratua - II,ৰতুৱা - II
6m - 3y,৬ মাহ-৩ বছৰ
Kushi Nagar City,কুশী নগৰ চহৰ
Take Home Ration,টেক-হোম ৰেচন
Raina - I,ৰাইনা - I
Chandrakona - II,চন্দ্ৰকোনা - II
Mohgaon - T,মহগাঁও - টি
12 Digit Number,12 অংকৰ সংখ্যা
About Reference tables,ৰেফাৰেঞ্চ তালিকাৰ বিষযে
GOBARDANGA I. C. D. S PROJECT(U),গোবৰদাঙ্গা আই. চি. ডি. এছ. প্ৰকল্প (ইউ)
Please fill in the form below to create a new ticket.,এটা নতুন টিকত প্ৰস্তুত কৰিবলৈ তলত দিযা ফৰ্মখন অনুগ্ৰহ কৰি পূৰ কৰা।
Anganwadi Worker will reach out to you within 48 hours.,অংগনৱাডী কৰ্মীসকল 48 ঘন্টাৰ ভিতৰত আপোনাৰ ওচৰত আহি পাব।
Goregaon East (U),গোৰেগাঁও পূব (ইউ)
RISHRA-KONNAGAR(U) ICDS PROJECT,ৰিশ্ৰা-কোননগৰ (ইউ) আইচিডিএছ প্ৰকল্প
Default language selection,অবিকল্পিত ভাষা নিৰ্বাচন
Your request is received.,আপোনাৰ অনুৰোধ প্ৰাপ্ত হৈছে।
Please note down the ticket number for future reference.,অনুগ্ৰহ কৰি ভৱিষ্যতৰ প্ৰসংগৰ বাবে টিকট নম্বৰটো মন কৰিব।
Please enter Ticket Number,অনুগ্ৰহ কৰি টিকট নম্বৰ প্ৰবিষ্ট কৰক
We believe in building doers.,আমি কৰ্তনকাৰী নিৰ্মাণত বিশ্বাস কৰো।
Poshan Tracker is a project of Ministry of Women and Child Development.,পোশান ট্ৰেকাৰ হৈছে মহিলা আৰু শিশু বিকাশ মন্ত্ৰালযৰ এটা প্ৰকল্প।
Digital India Corporation is the technical partner of MoWCD.,ডিজিটেল ইণ্ডিযা কৰ্পোৰেচন হৈছে এমঅ'ডব্লিউচিডিৰ কাৰিকৰী অংশীদাৰ।
Poshan Tracker focuses on eradication of malnutrition from India.,পোশান ট্ৰেকাৰে ভাৰতৰ পৰা পুষ্টিহীনতা নিৰ্মূলৰ ওপৰত গুৰুত্ব আৰোপ কৰিছে।
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ই পোশান অভিযানৰ অধীনত সেৱা প্ৰদান নিৰীক্ষণ আৰু উন্নত কৰাৰ এক প্ৰণালী হিচাপে কাম কৰে
Turvihal - Kannatagi,তুৰ্বিহাল - কান্নাটাগী
Anganwadi Worker Training,অংগনৱাডী কৰ্মী প্ৰশিক্ষণ
St Thomas Mount,ছেইণ্ট থমাছ মাউণ্ট
Please Select Beneficiary Category,অনুগ্ৰহ কৰি হিতাধিকাৰীৰ শ্ৰেণী বাচনি কৰক
Purbasthali - II,পূৰ্বস্থলী - II
3.2. Legal Disclosures.,3.2. আইনগত প্ৰকাশ।
Is poshan trackers app available over Apple I Store also?,পোচান ট্ৰেকএপটো এপল আই ষ্টোৰত উপলব্ধ নেকি?
Number of records becoming inactive and number of records migrating from one category to another,নিষ্ক্ৰিয হৈ পৰা ৰেকৰ্ডৰ সংখ্যা আৰু এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা ৰেকৰ্ডৰ সংখ্যা
